#  Table rgs12o12_b80_03_0123720301.lc[1]  Wed 15:44:36 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     2.92      0.24 
     80     2.91      0.22 
    160     2.63      0.20 
    240     2.95      0.21 
    320     3.15      0.24 
    400     2.68      0.19 
    480     2.72      0.19 
    559     2.78      0.20 
    640     2.58      0.19 
    719     2.24      0.18 
    800     2.58      0.19 
    880     3.08      0.22 
    959     2.51      0.18 
   1040     2.47      0.20 
   1120     2.86      0.21 
   1200     2.51      0.19 
   1280     2.91      0.21 
   1360     3.04      0.21 
   1440     2.76      0.19 
   1520     2.97      0.21 
   1600     2.52      0.20 
   1680     2.83      0.19 
   1760     2.38      0.19 
   1840     2.92      0.20 
   1920     2.66      0.20 
   2000     2.82      0.19 
   2080     2.89      0.20 
   2160     2.75      0.19 
   2240     2.53      0.20 
   2320     2.94      0.21 
   2400     3.13      0.21 
   2480     2.58      0.19 
   2560     2.65      0.21 
   2640     2.74      0.20 
   2720     2.71      0.19 
   2800     2.44      0.19 
   2880     2.25      0.18 
   2960     3.07      0.20 
   3040     3.11      0.22 
   3120     2.36      0.18 
   3200     2.44      0.18 
   3280     2.76      0.21 
   3360     2.71      0.20 
   3440     2.74      0.19 
   3520     2.83      0.21 
   3600     2.99      0.21 
   3680     2.60      0.19 
   3760     2.89      0.20 
   3840     2.83      0.20 
   3920     2.65      0.19 
   4000     2.87      0.20 
   4080     2.66      0.19 
   4160     2.44      0.19 
   4240     2.97      0.20 
   4320     2.75      0.19 
   4400     3.07      0.21 
   4480     2.61      0.19 
   4560     3.09      0.20 
   4640     2.78      0.21 
   4720     2.83      0.20 
   4800     3.05      0.23 
   4880     2.83      0.20 
   4960     2.74      0.22 
   5040     2.90      0.20 
   5120     3.01      0.20 
   5200     3.12      0.22 
   5279     3.18      0.21 
   5360     2.73      0.19 
   5439     2.54      0.19 
   5520     2.57      0.20 
   5599     2.59      0.19 
   5679     2.98      0.20 
   5759     2.71      0.19 
   5839     2.73      0.19 
   5919     2.70      0.20 
   6000     2.92      0.20 
   6079     2.71      0.20 
   6159     2.92      0.21 
   6239     2.92      0.20 
   6320     2.89      0.21 
   6400     2.84      0.20 
   6479     3.17      0.22 
   6559     2.97      0.22 
   6640     3.78      0.22 
   6720     3.80      0.23 
   6799     4.20      0.24 
   6879     5.11      0.26 
   6959     5.56      0.27 
   7040     5.54      0.27 
   7119     5.39      0.29 
   7199     5.44      0.28 
   7279     5.68      0.29 
   7359     5.32      0.29 
   7439     5.51      0.27 
   7520     5.80      0.29 
   7600     5.22      0.29 
   7680     5.17      0.26 
   7760     5.40      0.27 
   7840     4.96      0.28 
   7920     5.11      0.26 
   8000     4.60      0.25 
   8080     4.79      0.25 
   8160     4.38      0.25 
   8240     4.22      0.24 
   8320     4.80      0.25 
   8400     4.86      0.27 
   8480     4.28      0.25 
   8559     4.23      0.26 
   8640     4.38      0.26 
   8720     4.59      0.26 
   8800     4.08      0.25 
   8879     4.30      0.24 
   8959     4.17      0.24 
   9040     4.43      0.26 
   9120     4.66      0.24 
   9199     4.27      0.25 
   9279     4.68      0.26 
   9359     4.86      0.25 
   9440     5.32      0.27 
   9519     4.63      0.27 
   9599     4.52      0.25 
   9679     4.56      0.25 
   9759     4.51      0.24 
   9839     4.75      0.27 
   9919     4.52      0.25 
  10000     5.03      0.26 
  10080     4.64      0.26 
  10160     4.98      0.26 
  10240     4.57      0.25 
  10320     4.40      0.24 
  10400     4.92      0.25 
  10480     5.05      0.26 
  10560     4.61      0.25 
  10640     4.86      0.27 
  10720     4.39      0.24 
  10800     4.48      0.24 
  10880     4.75      0.27 
  10960     4.93      0.25 
  11040     5.08      0.27 
  11120     4.88      0.25 
  11200     4.37      0.25 
  11280     4.29      0.24 
  11360     4.21      0.24 
  11440     4.14      0.27 
  11520     3.99      0.23 
  11600     4.54      0.25 
  11680     3.85      0.23 
  11760     3.69      0.22 
  11840     4.34      0.24 
  11920     4.00      0.23 
  12000     3.84      0.23 
  12080     3.51      0.22 
  12160     3.59      0.22 
  12240     4.23      0.23 
  12320     4.04      0.23 
  12400     3.46      0.22 
  12480     3.22      0.22 
  12560     3.69      0.22 
  12640     3.39      0.24 
  12720     3.46      0.21 
  12800     3.39      0.21 
  12880     3.27      0.23 
  12960     3.20      0.21 
  13040     3.45      0.22 
  13120     3.32      0.21 
  13200     3.59      0.23 
  13280     3.26      0.22 
  13360     3.29      0.21 
  13440     3.70      0.24 
  13520     3.13      0.22 
  13600     3.48      0.22 
  13680     2.92      0.21 
  13760     3.22      0.22 
  13840     3.46      0.23 
  13920     3.28      0.21 
  14000     3.38      0.21 
  14080     3.20      0.23 
  14160     3.20      0.22 
  14240     3.30      0.21 
  14320     3.00      0.20 
  14400     3.11      0.20 
  14480     3.08      0.20 
  14560     3.40      0.21 
  14640     3.48      0.22 
  14720     3.11      0.21 
  14800     3.39      0.23 
  14880     2.94      0.20 
  14960     2.91      0.20 
  15040     3.05      0.22 
  15120     3.35      0.21 
  15200     2.77      0.19 
  15280     3.20      0.21 
  15360     3.42      0.23 
  15440     3.00      0.22 
  15520     3.08      0.22 
  15600     2.79      0.19 
  15680     3.15      0.21 
  15760     3.09      0.20 
  15840     3.18      0.20 
  15920     3.05      0.22 
  16000     3.62      0.24 
  16080     2.95      0.20 
  16160     3.50      0.22 
  16240     2.99      0.21 
  16320     2.92      0.20 
  16400     3.10      0.21 
  16480     2.72      0.22 
  16560     2.54      0.19 
  16640     2.76      0.19 
  16720     2.71      0.21 
  16800     2.87      0.21 
  16880     2.43      0.19 
  16960     2.63      0.19 
  17040     2.69      0.19 
  17120     2.79      0.19 
  17200     3.01      0.20 
  17280     2.82      0.21 
  17360     2.75      0.19 
  17440     2.39      0.18 
  17520     3.16      0.22 
  17600     2.67      0.20 
  17680     2.97      0.20 
  17760     2.62      0.21 
  17840     2.43      0.19 
  17920     2.70      0.20 
  18000     3.15      0.20 
  18080     2.81      0.20 
  18160     2.62      0.21 
  18240     2.66      0.19 
  18320     2.47      0.19 
  18400     2.64      0.19 
  18480     2.44      0.18 
  18560     2.84      0.20 
  18640     2.72      0.20 
  18720     2.57      0.20 
  18800     2.90      0.23 
  18880     2.66      0.19 
  18960     2.58      0.19 
  19040     2.55      0.21 
  19120     2.86      0.19 
  19200     2.75      0.21 
