#  Table rgs12o12_b70_03_0123720301.lc[1]  Wed 15:44:36 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     2.90      0.29 
     69     2.81      0.22 
    140     2.83      0.23 
    210     2.67      0.21 
    280     3.19      0.25 
    350     2.96      0.22 
    420     2.71      0.22 
    490     2.72      0.19 
    559     2.55      0.22 
    630     2.76      0.20 
    699     2.35      0.21 
    770     2.40      0.18 
    840     2.69      0.22 
    909     3.08      0.21 
    980     2.44      0.21 
   1050     2.47      0.20 
   1120     2.71      0.23 
   1190     2.56      0.19 
   1260     2.99      0.23 
   1330     3.08      0.21 
   1400     2.60      0.23 
   1470     2.88      0.20 
   1540     3.02      0.25 
   1610     2.52      0.20 
   1680     2.87      0.23 
   1750     2.46      0.20 
   1820     2.80      0.22 
   1890     2.85      0.20 
   1960     2.44      0.22 
   2030     2.86      0.19 
   2100     2.96      0.23 
   2170     2.75      0.19 
   2240     2.66      0.24 
   2310     2.74      0.21 
   2380     3.12      0.24 
   2450     2.85      0.20 
   2520     2.89      0.23 
   2590     2.43      0.20 
   2660     2.68      0.22 
   2730     2.71      0.19 
   2800     2.35      0.23 
   2870     2.38      0.18 
   2940     2.90      0.23 
   3010     3.15      0.22 
   3080     2.72      0.22 
   3150     2.14      0.18 
   3220     2.69      0.22 
   3290     2.76      0.21 
   3360     2.71      0.22 
   3430     2.61      0.19 
   3500     2.98      0.23 
   3570     3.01      0.22 
   3640     2.73      0.24 
   3710     2.66      0.19 
   3780     2.89      0.23 
   3850     2.83      0.20 
   3920     2.61      0.22 
   3990     2.85      0.20 
   4060     2.83      0.23 
   4130     2.33      0.18 
   4200     2.90      0.23 
   4270     2.80      0.19 
   4340     2.81      0.23 
   4410     3.07      0.21 
   4480     2.75      0.23 
   4550     3.01      0.20 
   4620     2.56      0.23 
   4690     2.94      0.21 
   4760     2.76      0.22 
   4830     3.08      0.23 
   4900     2.82      0.23 
   4970     2.74      0.22 
   5040     2.91      0.23 
   5110     2.98      0.20 
   5180     3.07      0.23 
   5250     2.97      0.22 
   5320     3.33      0.25 
   5389     2.66      0.19 
   5460     2.48      0.21 
   5529     2.57      0.20 
   5599     2.72      0.23 
   5669     2.82      0.20 
   5740     2.91      0.23 
   5810     2.74      0.19 
   5879     2.44      0.21 
   5949     2.87      0.21 
   6020     2.87      0.23 
   6089     2.71      0.20 
   6159     3.02      0.25 
   6229     2.81      0.19 
   6300     2.92      0.26 
   6370     2.87      0.20 
   6440     2.98      0.23 
   6510     3.24      0.22 
   6580     2.81      0.25 
   6650     3.78      0.22 
   6720     3.82      0.26 
   6790     4.09      0.23 
   6859     4.66      0.29 
   6929     5.38      0.27 
   6999     5.34      0.31 
   7070     5.63      0.27 
   7140     5.52      0.35 
   7209     5.44      0.28 
   7279     5.59      0.31 
   7349     5.62      0.29 
   7419     4.88      0.33 
   7489     5.85      0.28 
   7560     5.65      0.34 
   7630     5.28      0.29 
   7700     5.12      0.30 
   7770     5.40      0.27 
   7840     4.80      0.31 
   7909     5.14      0.27 
   7979     4.96      0.30 
   8050     4.66      0.25 
   8120     4.55      0.29 
   8190     4.43      0.26 
   8259     4.15      0.27 
   8329     4.80      0.25 
   8400     4.73      0.31 
   8470     4.46      0.26 
   8540     4.34      0.30 
   8609     4.50      0.25 
   8679     4.05      0.31 
   8750     4.46      0.24 
   8820     4.13      0.29 
   8890     4.30      0.24 
   8959     4.17      0.28 
   9029     4.47      0.26 
   9099     4.35      0.28 
   9170     4.53      0.25 
   9240     4.39      0.28 
   9309     4.82      0.26 
   9379     4.80      0.29 
   9449     5.32      0.27 
   9519     4.61      0.29 
   9589     4.47      0.27 
   9659     4.71      0.29 
   9730     4.60      0.25 
   9800     4.66      0.29 
   9870     4.56      0.26 
   9940     4.47      0.29 
  10010     5.03      0.26 
  10080     4.88      0.29 
  10150     4.62      0.26 
  10220     5.29      0.31 
  10290     4.07      0.24 
  10360     4.64      0.29 
  10430     5.12      0.26 
  10500     4.84      0.29 
  10570     4.61      0.25 
  10640     4.60      0.32 
  10710     4.62      0.25 
  10780     4.38      0.28 
  10850     4.61      0.27 
  10920     5.01      0.29 
  10990     4.92      0.25 
  11060     5.10      0.32 
  11130     4.88      0.25 
  11200     4.50      0.30 
  11270     4.34      0.24 
  11340     4.24      0.28 
  11410     4.19      0.24 
  11480     3.96      0.30 
  11550     4.02      0.23 
  11620     4.61      0.29 
  11690     3.85      0.23 
  11760     3.72      0.26 
  11830     4.16      0.23 
  11900     4.08      0.27 
  11970     4.14      0.23 
  12040     3.37      0.24 
  12110     3.66      0.22 
  12180     3.53      0.26 
  12250     4.23      0.23 
  12320     3.96      0.26 
  12390     3.54      0.22 
  12460     3.61      0.27 
  12530     3.43      0.22 
  12600     3.41      0.28 
  12670     3.43      0.22 
  12740     3.53      0.25 
  12810     3.39      0.21 
  12880     3.12      0.26 
  12950     3.35      0.21 
  13020     3.30      0.25 
  13090     3.23      0.21 
  13160     3.44      0.25 
  13230     3.86      0.24 
  13300     3.00      0.26 
  13370     3.29      0.21 
  13440     3.82      0.28 
  13510     3.13      0.22 
  13580     3.42      0.25 
  13650     3.05      0.21 
  13720     3.40      0.26 
  13790     3.20      0.22 
  13860     3.46      0.27 
  13930     3.28      0.21 
  14000     3.35      0.24 
  14070     3.32      0.21 
  14140     3.12      0.27 
  14210     3.28      0.23 
  14280     3.13      0.24 
  14350     3.27      0.21 
  14420     2.81      0.23 
  14490     3.08      0.20 
  14560     3.46      0.24 
  14630     3.30      0.22 
  14700     3.35      0.26 
  14770     3.22      0.22 
  14840     3.35      0.25 
  14910     2.94      0.20 
  14980     2.86      0.23 
  15050     3.05      0.22 
  15120     3.53      0.25 
  15190     2.83      0.19 
  15260     2.96      0.23 
  15330     3.37      0.21 
  15400     3.29      0.26 
  15470     2.86      0.21 
  15540     3.24      0.26 
  15610     2.79      0.19 
  15680     2.91      0.23 
  15750     3.30      0.21 
  15820     3.02      0.23 
  15890     3.06      0.20 
  15960     3.50      0.28 
  16030     3.47      0.23 
  16100     2.86      0.22 
  16170     3.50      0.22 
  16240     2.93      0.24 
  16310     3.10      0.21 
  16380     3.09      0.23 
  16450     2.71      0.21 
  16520     2.65      0.24 
  16590     2.63      0.19 
  16660     2.75      0.22 
  16730     2.71      0.21 
  16800     2.74      0.23 
  16870     2.67      0.20 
  16940     2.58      0.22 
  17010     2.64      0.19 
  17080     2.86      0.22 
  17150     2.65      0.19 
  17220     3.09      0.23 
  17290     2.82      0.21 
  17360     2.90      0.23 
  17430     2.26      0.18 
  17500     2.78      0.23 
  17570     3.08      0.23 
  17640     2.83      0.23 
  17710     2.84      0.20 
  17780     2.68      0.25 
  17850     2.43      0.19 
  17920     2.71      0.24 
  17990     3.27      0.21 
  18060     2.60      0.22 
  18130     2.73      0.20 
  18200     2.61      0.24 
  18270     2.76      0.20 
  18340     2.28      0.21 
  18410     2.64      0.19 
  18480     2.29      0.21 
  18550     2.79      0.20 
  18620     2.81      0.22 
  18690     2.64      0.20 
  18760     2.70      0.24 
  18830     3.00      0.22 
  18900     2.48      0.21 
  18970     2.58      0.19 
  19040     2.56      0.26 
  19110     2.72      0.19 
  19180     2.95      0.23 
  19250     2.90      0.23 
  19320     2.70      0.22 
  19390     2.87      0.19 
  19460     2.45      0.23 
  19530     2.60      0.20 
  19600     2.70      0.22 
  19670     2.61      0.19 
  19740     2.55      0.21 
  19810     2.46      0.18 
  19880     2.35      0.21 
  19950     2.60      0.21 
  20020     2.65      0.23 
  20090     2.64      0.21 
  20160     2.38      0.21 
  20230     2.42      0.19 
  20300     2.72      0.22 
  20370     2.54      0.19 
  20440     2.55      0.21 
  20510     2.48      0.19 
  20580     2.98      0.26 
  20650     2.16      0.17 
  20720     2.38      0.22 
  20790     2.38      0.18 
  20860     2.09      0.22 
  20930     2.48      0.19 
  21000     3.03      0.25 
  21070     2.51      0.20 
  21140     2.59      0.22 
  21210     2.50      0.19 
  21280     2.54      0.22 
  21350     2.12      0.18 
  21420     2.54      0.24 
  21490     2.58      0.19 
  21560     2.21      0.21 
  21630     2.47      0.18 
  21700     2.47      0.23 
  21770     2.28      0.18 
  21840     2.59      0.23 
  21910     2.23      0.19 
  21980     2.73      0.22 
  22050     2.13      0.17 
  22120     2.18      0.20 
  22190     2.06      0.20 
  22260     2.19      0.23 
  22330     2.21      0.19 
  22400     2.60      0.24 
  22470     2.43      0.18 
  22540     2.69      0.23 
  22610     2.61      0.19 
  22680     2.44      0.21 
  22750     2.67      0.22 
  22820     2.44      0.22 
  22890     2.47      0.18 
  22960     2.65      0.24 
  23030     2.82      0.20 
  23100     2.88      0.23 
  23170     2.88      0.22 
  23240     2.63      0.22 
  23310     2.49      0.20 
  23380     2.47      0.21 
  23450     2.36      0.18 
  23520     2.48      0.22 
  23590     2.71      0.20 
  23660     2.68      0.22 
  23730     2.95      0.20 
  23800     2.81      0.23 
  23870     2.45      0.19 
  23940     2.74      0.24 
  24010     2.77      0.19 
  24080     3.12      0.26 
  24150     2.63      0.20 
  24220     2.76      0.24 
  24290     2.47      0.19 
  24360     2.70      0.22 
  24430     2.79      0.20 
  24500     2.77      0.25 
  24570     2.25      0.18 
  24640     3.00      0.25 
  24710     2.55      0.20 
  24780     2.62      0.22 
  24850     2.89      0.20 
  24920     2.91      0.22 
  24990     2.80      0.21 
  25060     2.77      0.23 
  25130     2.72      0.21 
  25200     2.62      0.24 
  25270     2.74      0.19 
  25340     2.59      0.24 
  25410     2.83      0.21 
  25480     2.80      0.22 
  25550     2.64      0.21 
  25620     3.36      0.24 
  25690     2.44      0.18 
  25760     2.72      0.24 
  25830     2.92      0.20 
  25900     2.71      0.24 
  25970     2.97      0.20 
  26040     3.28      0.24 
  26110     3.31      0.21 
  26180     3.25      0.26 
  26250     2.78      0.19 
  26320     3.26      0.27 
  26390     2.71      0.20 
  26460     3.00      0.26 
  26530     2.94      0.21 
