#  Table pn_b70_06_0134520701.lc[1]  Wed 10:13:26 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     28.71      0.80 
     69     25.66      0.76 
    140     26.61      0.77 
    210     26.76      0.77 
    280     26.15      0.77 
    350     26.83      0.77 
    420     28.55      0.80 
    490     27.11      0.78 
    559     26.69      0.77 
    630     25.85      0.76 
    699     27.84      0.79 
    770     27.07      0.78 
    840     27.38      0.78 
    909     27.96      0.79 
    980     27.67      0.79 
   1050     27.57      0.78 
   1120     27.86      0.79 
   1190     27.76      0.79 
   1260     26.64      0.77 
   1330     27.37      0.78 
   1400     27.44      0.78 
   1470     27.17      0.78 
   1540     28.18      0.79 
   1610     27.31      0.78 
   1680     27.40      0.78 
   1750     26.71      0.77 
   1820     26.17      0.76 
   1890     27.40      0.78 
   1960     26.50      0.77 
   2030     27.36      0.78 
   2100     26.79      0.77 
   2170     27.54      0.78 
   2240     27.19      0.78 
   2310     27.30      0.78 
   2380     26.51      0.77 
   2450     28.39      0.80 
   2520     28.67      0.80 
   2590     28.19      0.79 
   2660     26.42      0.77 
   2730     26.69      0.77 
   2800     27.16      0.78 
   2870     26.51      0.77 
   2940     27.04      0.78 
   3010     27.19      0.78 
   3080     27.75      0.79 
   3150     26.65      0.77 
   3220     26.83      0.77 
   3290     27.76      0.79 
   3360     27.77      0.79 
   3430     27.47      0.78 
   3500     27.73      0.79 
   3570     28.03      0.79 
   3640     26.60      0.77 
   3710     26.85      0.77 
   3780     25.67      0.76 
   3850     26.88      0.77 
   3920     28.38      0.80 
   3990     27.11      0.78 
   4060     26.54      0.77 
   4130     27.09      0.78 
   4200     27.67      0.79 
   4270     26.32      0.77 
   4340     27.24      0.78 
   4410     27.72      0.79 
   4480     28.32      0.80 
   4550     28.03      0.79 
   4620     26.56      0.77 
   4690     28.85      0.80 
   4760     28.97      0.80 
   4830     30.06      0.82 
   4900     29.17      0.81 
   4970     30.79      0.83 
   5040     33.78      0.87 
   5110     34.51      0.88 
   5180     34.55      0.88 
   5250     34.71      0.88 
   5320     36.27      0.90 
   5389     33.93      0.87 
   5460     33.65      0.87 
   5529     34.29      0.87 
   5599     33.25      0.86 
   5669     33.03      0.86 
   5740     32.41      0.85 
   5810     33.24      0.86 
   5879     32.55      0.85 
   5949     30.43      0.82 
   6020     32.60      0.85 
   6089     32.21      0.85 
   6159     30.04      0.82 
   6229     29.67      0.81 
   6300     29.46      0.81 
   6370     29.01      0.81 
   6440     29.65      0.81 
   6510     29.95      0.82 
   6580     28.35      0.80 
   6650     29.71      0.81 
   6720     28.65      0.80 
   6790     29.17      0.81 
   6859     29.19      0.81 
   6929     29.52      0.81 
   6999     27.87      0.79 
   7070     27.49      0.78 
   7140     28.20      0.79 
   7209     27.50      0.78 
   7279     29.77      0.82 
   7349     28.50      0.80 
   7419     27.89      0.79 
   7489     27.52      0.78 
   7560     27.87      0.79 
   7630     28.04      0.79 
   7700     28.60      0.80 
   7770     27.22      0.78 
   7840     26.25      0.77 
   7909     27.02      0.78 
   7979     27.65      0.79 
   8050     27.33      0.78 
   8120     27.88      0.79 
   8190     28.25      0.79 
   8259     27.04      0.78 
   8329     27.37      0.78 
   8400     27.50      0.78 
   8470     26.51      0.77 
   8540     28.06      0.79 
   8609     27.22      0.78 
   8679     25.62      0.76 
   8750     27.04      0.78 
   8820     24.90      0.75 
   8890     25.72      0.76 
   8959     26.45      0.77 
   9029     25.66      0.76 
   9099     26.34      0.77 
   9170     26.04      0.76 
   9240     25.94      0.76 
   9309     25.30      0.75 
   9379     26.21      0.77 
   9449     26.03      0.76 
   9519     26.62      0.77 
   9589     25.08      0.75 
   9659     24.52      0.74 
   9730     25.70      0.76 
   9800     25.08      0.75 
   9870     25.32      0.75 
   9940     25.53      0.76 
  10010     25.68      0.76 
  10080     25.48      0.75 
  10150     25.01      0.75 
  10220     25.56      0.76 
  10290     25.32      0.75 
  10360     26.62      0.77 
  10430     24.71      0.74 
  10500     25.64      0.76 
  10570     25.44      0.75 
  10640     27.20      0.78 
  10710     26.69      0.77 
  10780     24.68      0.74 
  10850     25.03      0.75 
  10920     25.41      0.76 
  10990     26.50      0.77 
  11060     26.75      0.77 
  11130     26.97      0.78 
  11200     25.90      0.76 
  11270     25.90      0.76 
  11340     27.00      0.78 
  11410     26.96      0.78 
  11480     25.34      0.75 
  11550     27.28      0.78 
  11620     26.50      0.77 
  11690     25.73      0.76 
  11760     27.37      0.78 
  11830     28.37      0.80 
  11900     28.18      0.79 
  11970     28.18      0.79 
  12040     28.18      0.79 
  12110     28.58      0.80 
  12180     29.33      0.81 
  12250     29.48      0.81 
  12320     29.74      0.81 
  12390     30.09      0.82 
  12460     28.95      0.81 
  12530     29.56      0.81 
  12600     30.62      0.83 
  12670     29.85      0.82 
  12740     32.37      0.85 
  12810     29.63      0.81 
  12880     29.20      0.81 
  12950     30.43      0.83 
  13020     28.81      0.80 
  13090     29.26      0.81 
  13160     27.76      0.79 
  13230     29.66      0.81 
  13300     29.51      0.81 
  13370     28.00      0.79 
  13440     28.50      0.80 
  13510     26.98      0.78 
  13580     28.76      0.80 
  13650     27.80      0.79 
  13720     28.19      0.79 
  13790     27.18      0.78 
  13860     27.71      0.79 
  13930     28.85      0.80 
  14000     27.19      0.78 
  14070     26.90      0.77 
  14140     26.72      0.77 
  14210     27.83      0.79 
  14280     27.59      0.78 
  14350     27.29      0.78 
  14420     27.53      0.78 
  14490     27.41      0.78 
  14560     28.67      0.80 
  14630     26.85      0.77 
  14700     26.62      0.77 
  14770     27.97      0.79 
  14840     25.85      0.76 
  14910     25.53      0.76 
  14980     25.83      0.76 
  15050     25.11      0.75 
  15120     26.26      0.77 
  15190     26.25      0.77 
  15260     26.44      0.77 
  15330     26.10      0.76 
  15400     26.94      0.78 
  15470     26.74      0.77 
  15540     26.07      0.76 
  15610     25.70      0.76 
  15680     26.02      0.76 
  15750     26.37      0.77 
  15820     26.58      0.77 
  15890     25.51      0.75 
  15960     25.11      0.75 
  16030     25.38      0.75 
  16100     25.30      0.75 
  16170     23.98      0.73 
  16240     25.44      0.75 
  16310     24.86      0.75 
  16380     24.37      0.74 
  16450     24.70      0.74 
  16520     24.51      0.74 
  16590     23.77      0.73 
  16660     23.81      0.73 
  16730     23.74      0.73 
  16800     24.68      0.74 
  16870     22.75      0.71 
  16940     24.23      0.73 
  17010     23.49      0.72 
  17080     23.38      0.72 
  17150     22.93      0.72 
  17220     21.44      0.69 
  17290     23.21      0.72 
  17360     23.01      0.72 
  17430     21.85      0.70 
  17500     22.14      0.70 
  17570     22.00      0.70 
  17640     23.26      0.72 
  17710     21.35      0.69 
  17780     23.18      0.72 
  17850     23.06      0.72 
  17920     22.21      0.71 
  17990     21.24      0.69 
  18060     23.27      0.72 
  18130     23.25      0.72 
  18200     21.98      0.70 
  18270     22.00      0.70 
  18340     21.77      0.70 
  18410     22.61      0.71 
  18480     22.27      0.71 
  18550     22.15      0.70 
  18620     22.20      0.70 
  18690     21.72      0.70 
  18760     21.69      0.70 
  18830     21.56      0.69 
  18900     22.32      0.71 
  18970     22.87      0.71 
  19040     22.11      0.70 
  19110     20.77      0.68 
  19180     21.54      0.69 
  19250     21.93      0.70 
  19320     21.40      0.69 
  19390     22.25      0.70 
  19460     22.22      0.70 
  19530     22.21      0.71 
  19600     22.63      0.71 
  19670     21.38      0.69 
  19740     20.23      0.67 
  19810     21.77      0.70 
  19880     20.11      0.67 
  19950     22.24      0.70 
  20020     19.83      0.67 
  20090     20.52      0.68 
  20160     20.19      0.67 
  20230     20.46      0.68 
  20300     20.81      0.68 
  20370     20.27      0.67 
  20440     20.83      0.68 
  20510     20.24      0.67 
  20580     19.87      0.67 
  20650     21.96      0.70 
  20720     21.11      0.69 
  20790     21.13      0.69 
  20860     20.82      0.68 
  20930     19.72      0.66 
  21000     20.62      0.68 
  21070     21.05      0.69 
  21140     20.49      0.68 
  21210     20.38      0.68 
  21280     20.47      1.33 
  21350     21.00      0.85 
