#  Table pn_b50_04c_0133120201.lc[1]  Mon 10:27:48 02-Dec-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     21.41      0.77 
     50     21.63      0.76 
    100     21.40      0.77 
    150     22.04      0.77 
    200     22.47      0.78 
    250     20.03      0.74 
    300     21.01      0.75 
    350     21.96      0.78 
    400     20.20      0.74 
    450     20.97      0.76 
    500     21.72      0.76 
    550     20.72      0.75 
    600     20.80      0.76 
    650     21.69      0.77 
    699     22.38      0.78 
    750     21.23      0.77 
    800     20.83      0.75 
    849     21.76      0.78 
    900     20.88      0.75 
    949     20.52      0.75 
   1000     21.37      0.76 
   1050     20.67      0.75 
   1100     19.81      0.74 
   1150     20.97      0.75 
   1200     21.80      0.77 
   1250     21.13      0.76 
   1300     20.40      0.75 
   1350     19.45      0.73 
   1400     21.22      0.76 
   1450     20.95      0.75 
   1500     20.89      0.76 
   1550     20.99      0.75 
   1600     20.49      0.74 
   1650     20.67      0.75 
   1700     21.93      0.77 
   1750     21.16      0.76 
   1800     20.62      0.74 
   1850     20.96      0.75 
   1900     21.00      0.75 
   1950     21.80      0.77 
   2000     21.59      0.76 
   2050     20.84      0.75 
   2100     20.45      0.74 
   2150     20.46      0.75 
   2200     21.22      0.76 
   2250     20.65      0.75 
   2300     20.50      0.74 
   2350     19.51      0.73 
   2400     21.97      0.77 
   2450     22.03      0.78 
   2500     20.88      0.75 
   2550     19.72      0.73 
   2600     20.33      0.74 
   2650     21.13      0.76 
   2700     22.15      0.78 
   2750     22.08      0.78 
   2800     22.51      0.79 
   2850     21.98      0.77 
   2900     21.04      0.76 
   2950     20.48      0.74 
   3000     20.83      0.75 
   3050     20.28      0.74 
   3100     20.65      0.75 
   3150     20.89      0.75 
   3200     20.20      0.74 
   3250     20.67      0.75 
   3300     21.20      0.76 
   3350     21.50      0.76 
   3400     21.04      0.75 
   3450     21.04      0.76 
   3500     21.83      0.78 
   3550     21.01      0.75 
   3600     21.07      0.76 
   3650     21.12      0.76 
   3700     20.69      0.75 
   3750     23.36      0.80 
   3800     21.19      0.75 
   3850     21.93      0.77 
   3900     20.46      0.75 
   3950     21.23      0.76 
   4000     21.36      0.76 
   4050     21.88      0.77 
   4100     22.08      0.77 
   4150     22.53      0.79 
   4200     47.56      23.78 
