#  Table rgs12o12_b50_01_0123720201.lc[1]  Mon 12:15:25 02-Dec-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     2.40      0.28 
     50     2.41      0.24 
    100     2.30      0.29 
    150     2.31      0.21 
    200     2.20      0.29 
    250     2.41      0.22 
    300     2.35      0.26 
    350     2.45      0.22 
    400     2.24      0.31 
    450     2.32      0.23 
    500     2.87      0.32 
    550     2.54      0.23 
    600     2.37      0.27 
    650     2.58      0.26 
    699     2.35      0.28 
    750     2.44      0.22 
    800     2.33      0.32 
    849     2.69      0.23 
    900     2.87      0.29 
    949     2.05      0.21 
   1000     2.35      0.28 
   1050     2.27      0.23 
   1100     2.77      0.29 
   1150     2.49      0.22 
   1200     2.31      0.26 
   1250     2.55      0.23 
   1300     2.72      0.29 
   1350     2.42      0.24 
   1400     2.25      0.26 
   1450     2.34      0.23 
   1500     2.84      0.30 
   1550     2.53      0.23 
   1600     2.78      0.28 
   1650     2.58      0.23 
   1700     2.38      0.26 
   1750     2.83      0.24 
   1800     2.82      0.29 
   1850     2.86      0.23 
   1900     2.64      0.28 
   1950     2.70      0.25 
   2000     2.04      0.31 
   2050     2.76      0.23 
   2100     3.31      0.36 
   2150     2.58      0.25 
   2200     3.24      0.31 
   2250     2.60      0.23 
   2300     2.93      0.30 
   2350     2.47      0.24 
   2400     2.78      0.28 
   2450     2.51      0.26 
   2500     2.81      0.29 
   2550     2.88      0.25 
   2600     2.26      0.28 
   2650     2.11      0.23 
   2700     2.47      0.28 
   2750     2.97      0.25 
   2800     2.55      0.29 
   2850     2.70      0.26 
   2900     3.22      0.36 
   2950     2.43      0.24 
   3000     3.09      0.30 
   3050     2.96      0.25 
   3100     2.61      0.29 
   3150     3.06      0.27 
   3200     2.33      0.27 
   3250     2.87      0.24 
   3300     2.85      0.30 
   3350     2.81      0.27 
   3400     2.86      0.34 
   3450     2.82      0.24 
   3500     2.16      0.26 
   3550     2.18      0.22 
   3600     2.50      0.30 
   3650     2.38      0.25 
   3700     2.99      0.31 
   3750     2.79      0.25 
   3800     2.52      0.31 
   3850     2.27      0.26 
   3900     2.77      0.29 
   3950     2.12      0.22 
   4000     2.53      0.35 
   4050     2.43      0.26 
   4100     2.62      0.32 
   4150     2.78      0.24 
   4200     2.23      0.27 
   4250     2.55      0.23 
   4300     3.29      0.31 
   4349     2.38      0.25 
   4400     1.88      0.29 
   4450     2.26      0.23 
   4500     2.92      0.30 
   4550     2.81      0.25 
   4600     2.38      0.28 
   4650     3.21      0.27 
   4700     2.49      0.27 
   4750     2.94      0.24 
   4800     2.80      0.30 
   4850     2.64      0.24 
   4900     3.10      0.30 
   4950     2.61      0.24 
   5000     2.96      0.30 
   5050     3.14      0.28 
   5100     2.36      0.29 
   5150     2.76      0.24 
   5200     2.56      0.29 
   5250     2.76      0.25 
   5300     2.51      0.34 
   5349     2.85      0.25 
   5400     2.43      0.34 
   5450     2.95      0.25 
   5500     3.01      0.31 
   5549     2.61      0.24 
   5599     3.05      0.31 
   5650     2.47      0.24 
   5700     3.06      0.31 
   5749     3.41      0.27 
   5799     2.42      0.28 
   5849     2.50      0.23 
   5900     2.81      0.29 
   5949     2.72      0.26 
   6000     2.66      0.29 
