,timestamps,ls
0,0.0,322355.38
1,0.33337402,276037.25
2,0.66674805,265730.41
3,0.98339844,264795.59
4,1.3166504,279662.59
5,1.6500244,312244.41
6,1.9833984,337530.16
7,2.3166504,343185.84
8,2.6334229,331363.84
9,2.9666748,300349.66
10,3.3000488,270102.25
11,3.6334229,266744.91
12,3.9666748,292871.62
13,4.3000488,334079.41
14,4.6334229,372186.47
15,4.9500732,397453.41
16,5.2833252,388651.97
17,5.6166992,333011.28
18,5.9500732,274082.66
19,6.2667236,244743.92
20,6.6166992,268784.97
21,6.9500732,301577.0
22,7.2667236,325611.44
23,7.5999756,328332.53
24,7.9333496,321033.75
25,8.2667236,325175.69
26,8.5999756,341621.06
27,8.9333496,361471.16
28,9.2667236,355551.0
29,9.583374,345742.25
30,9.916748,345192.31
31,10.300049,316554.69
32,10.666748,288268.91
33,11.133423,309880.53
34,11.466675,330935.38
35,11.800049,334771.34
36,12.133423,316327.12
37,12.450073,305008.62
38,12.783325,296682.31
39,13.116699,291390.72
40,13.450073,324468.22
41,13.783325,371071.28
42,14.099976,362319.59
43,14.450073,308991.22
44,14.766724,297944.81
45,15.099976,290768.38
46,15.43335,286937.72
47,15.766724,312911.16
48,16.099976,346800.44
49,16.43335,385819.62
50,16.766724,414971.84
51,17.083374,437201.28
52,17.416748,404420.12
53,17.75,303632.62
54,18.083374,256979.17
55,18.400024,281757.19
56,18.733398,317777.81
57,19.06665,347603.41
58,19.400024,379327.06
59,19.733398,422615.31
60,20.06665,465046.94
61,20.400024,479328.91
62,20.733398,444599.91
63,21.06665,355052.16
64,21.400024,286331.91
65,21.716675,275318.25
66,22.083374,289906.72
67,22.416748,303051.81
68,22.733398,309503.34
69,23.06665,336261.31
70,23.400024,371852.81
71,23.733398,412064.88
72,24.050049,446821.66
73,24.383423,457895.66
74,24.716675,453548.0
75,25.050049,431162.06
76,25.383423,375051.62
77,25.700073,308284.44
78,26.033325,297750.88
79,26.366699,336814.91
80,26.716675,360474.53
81,27.050049,370034.5
82,27.383423,386826.66
83,27.700073,400127.19
84,28.033325,390159.69
85,28.383423,364472.38
86,28.716675,348562.31
87,29.033325,345249.31
88,29.366699,341662.38
89,29.700073,337915.41
90,30.033325,351038.84
91,30.366699,374164.56
