0.0000000	537051.31
0.31665039	533405.56
0.64990234	525952.31
0.98327637	493714.59
1.3166504	469005.88
1.6333008	506525.94
1.9666748	530631.94
2.2999268	529731.81
2.6333008	520403.00
2.9666748	510121.50
3.2999268	495119.06
3.6333008	473108.97
3.9666748	464274.31
4.2833252	498505.00
4.6165771	528488.75
4.9499512	544169.44
5.2833252	540796.56
5.6165771	528802.75
5.9333496	505453.28
6.2666016	462780.59
6.5999756	462686.50
6.9333496	491009.69
7.2666016	497002.06
7.5999756	499689.53
7.9333496	490737.22
8.2666016	468378.16
8.5832520	464110.47
8.9166260	481522.06
9.2500000	480996.59
9.5832520	482974.25
9.9166260	487692.06
10.266602	499075.72
10.649902	469040.88
11.083252	432558.16
11.466675	454111.62
11.783325	469557.41
12.116577	476879.34
12.449951	477812.72
12.783325	481804.09
13.116577	473428.41
13.433350	459851.28
13.766602	449762.72
14.099976	466722.22
14.433350	500239.94
14.766602	500481.94
15.099976	523188.62
15.433350	541146.00
15.750000	549469.69
16.083252	557984.69
16.433350	564029.75
16.750000	557813.56
17.083252	551471.50
17.416626	524555.50
17.750000	480693.03
18.066650	487879.59
18.399902	524580.62
18.733276	523167.75
19.066650	511301.72
19.399902	515543.00
19.733276	518175.88
20.066650	501321.12
20.399902	475071.00
20.733276	468185.31
21.049927	469758.34
21.383301	471571.50
21.716675	468089.72
22.066650	470421.47
22.399902	469977.88
22.733276	460994.59
23.066650	463406.94
23.399902	484378.94
23.716675	502366.69
24.049927	507691.31
24.383301	505328.31
24.716675	488601.00
25.049927	469568.25
25.366577	494405.78
25.699951	507191.94
26.033325	481447.78
26.366577	475967.94
26.699951	472682.91
27.033325	474634.88
27.366577	471269.28
27.699951	474401.31
28.033325	476752.69
28.366577	476825.75
28.699951	484801.72
29.033325	486752.91
29.366577	486065.59
29.699951	495103.44
30.033325	504020.75
30.366577	508619.62
