,timestamps,ls
0,0.0,537051.31
1,0.31665039,533405.56
2,0.64990234,525952.31
3,0.98327637,493714.59
4,1.3166504,469005.88
5,1.6333008,506525.94
6,1.9666748,530631.94
7,2.2999268,529731.81
8,2.6333008,520403.0
9,2.9666748,510121.5
10,3.2999268,495119.06
11,3.6333008,473108.97
12,3.9666748,464274.31
13,4.2833252,498505.0
14,4.6165771,528488.75
15,4.9499512,544169.44
16,5.2833252,540796.56
17,5.6165771,528802.75
18,5.9333496,505453.28
19,6.2666016,462780.59
20,6.5999756,462686.5
21,6.9333496,491009.69
22,7.2666016,497002.06
23,7.5999756,499689.53
24,7.9333496,490737.22
25,8.2666016,468378.16
26,8.583252,464110.47
27,8.916626,481522.06
28,9.25,480996.59
29,9.583252,482974.25
30,9.916626,487692.06
31,10.266602,499075.72
32,10.649902,469040.88
33,11.083252,432558.16
34,11.466675,454111.62
35,11.783325,469557.41
36,12.116577,476879.34
37,12.449951,477812.72
38,12.783325,481804.09
39,13.116577,473428.41
40,13.43335,459851.28
41,13.766602,449762.72
42,14.099976,466722.22
43,14.43335,500239.94
44,14.766602,500481.94
45,15.099976,523188.62
46,15.43335,541146.0
47,15.75,549469.69
48,16.083252,557984.69
49,16.43335,564029.75
50,16.75,557813.56
51,17.083252,551471.5
52,17.416626,524555.5
53,17.75,480693.03
54,18.06665,487879.59
55,18.399902,524580.62
56,18.733276,523167.75
57,19.06665,511301.72
58,19.399902,515543.0
59,19.733276,518175.88
60,20.06665,501321.12
61,20.399902,475071.0
62,20.733276,468185.31
63,21.049927,469758.34
64,21.383301,471571.5
65,21.716675,468089.72
66,22.06665,470421.47
67,22.399902,469977.88
68,22.733276,460994.59
69,23.06665,463406.94
70,23.399902,484378.94
71,23.716675,502366.69
72,24.049927,507691.31
73,24.383301,505328.31
74,24.716675,488601.0
75,25.049927,469568.25
76,25.366577,494405.78
77,25.699951,507191.94
78,26.033325,481447.78
79,26.366577,475967.94
80,26.699951,472682.91
81,27.033325,474634.88
82,27.366577,471269.28
83,27.699951,474401.31
84,28.033325,476752.69
85,28.366577,476825.75
86,28.699951,484801.72
87,29.033325,486752.91
88,29.366577,486065.59
89,29.699951,495103.44
90,30.033325,504020.75
91,30.366577,508619.62
