#  Table pn_b70_29_0412580701.lc[1]  Wed 10:13:29 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     23.84      0.74 
     69     24.79      0.76 
    140     24.30      0.75 
    210     24.23      0.75 
    280     24.38      0.75 
    350     23.85      0.74 
    420     23.59      0.74 
    490     24.09      0.75 
    559     24.07      0.75 
    630     23.67      0.74 
    699     23.56      0.74 
    770     22.77      0.73 
    840     24.67      0.75 
    909     24.29      0.75 
    980     24.73      0.75 
   1050     25.19      0.76 
   1120     24.16      0.75 
   1190     25.18      0.76 
   1260     23.76      0.74 
   1330     23.90      0.74 
   1400     25.43      0.77 
   1470     24.95      0.76 
   1540     25.98      0.77 
   1610     25.43      0.77 
   1680     26.70      0.79 
   1750     25.65      0.77 
   1820     25.08      0.76 
   1890     25.45      0.77 
   1960     25.20      0.76 
   2030     25.39      0.77 
   2100     25.58      0.77 
   2170     25.55      0.77 
   2240     25.36      0.77 
   2310     24.43      0.75 
   2380     24.72      0.76 
   2450     24.68      0.76 
   2520     24.32      0.75 
   2590     24.35      0.75 
   2660     23.97      0.74 
   2730     26.01      0.78 
   2800     24.34      0.75 
   2870     23.63      0.74 
   2940     23.39      0.73 
   3010     23.28      0.73 
   3080     23.25      0.73 
   3150     22.61      0.72 
   3220     23.10      0.73 
   3290     23.18      0.73 
   3360     22.02      0.71 
   3430     23.52      0.74 
   3500     23.14      0.73 
   3570     22.84      0.73 
   3640     21.67      0.71 
   3710     22.63      0.72 
   3780     21.71      0.71 
   3850     23.08      0.73 
   3920     22.53      0.72 
   3990     23.77      0.74 
   4060     22.46      0.72 
   4130     22.52      0.72 
   4200     22.06      0.71 
   4270     22.55      0.72 
   4340     22.37      0.72 
   4410     22.12      0.71 
   4480     21.74      0.71 
   4550     21.60      0.71 
   4620     21.83      0.71 
   4690     21.47      0.71 
   4760     22.39      0.72 
   4830     21.70      0.71 
   4900     22.30      0.72 
   4970     24.15      0.75 
   5040     22.63      0.72 
   5110     22.47      0.72 
   5180     21.53      0.71 
   5250     22.19      0.72 
   5320     22.67      0.72 
   5389     23.49      0.74 
   5460     23.28      0.73 
   5529     22.49      0.72 
   5599     22.96      0.73 
   5669     22.88      0.73 
   5740     22.30      0.72 
   5810     22.93      0.73 
   5879     23.36      0.73 
   5949     22.93      0.73 
   6020     21.72      0.71 
   6089     21.57      0.71 
   6159     23.07      0.73 
   6229     22.42      0.72 
   6300     23.97      0.75 
   6370     24.31      0.75 
   6440     23.69      0.74 
   6510     24.83      0.76 
   6580     24.42      0.75 
   6650     23.42      0.74 
   6720     24.26      0.75 
   6790     23.94      0.74 
   6859     25.15      0.76 
   6929     24.44      0.75 
   6999     24.83      0.76 
   7070     24.94      0.76 
   7140     26.29      0.78 
   7209     27.30      0.79 
   7279     31.56      0.85 
   7349     35.07      0.90 
   7419     38.95      0.95 
   7489     44.37      1.01 
   7560     46.43      1.04 
   7630     44.48      1.02 
   7700     46.72      1.04 
   7770     44.65      1.02 
   7840     44.06      1.01 
   7909     42.70      0.99 
   7979     41.87      0.98 
   8050     41.05      0.98 
   8120     39.18      0.95 
   8190     37.65      0.93 
   8259     35.11      0.90 
   8329     33.93      0.89 
   8400     32.18      0.86 
   8470     31.14      0.85 
   8540     30.57      0.84 
   8609     29.87      0.83 
   8679     30.14      0.83 
   8750     27.88      0.80 
   8820     28.42      0.81 
   8890     27.88      0.80 
   8959     27.51      0.80 
   9029     28.12      0.81 
   9099     27.63      0.80 
   9170     27.14      0.79 
   9240     27.25      0.79 
   9309     25.78      0.77 
   9379     25.15      0.76 
   9449     25.27      0.77 
   9519     25.03      0.76 
   9589     24.39      0.75 
   9659     23.04      0.73 
   9730     24.94      0.76 
   9800     23.61      0.74 
   9870     24.04      0.75 
   9940     25.00      1.37 
