#  Table pn_b60_29_0412580701.lc[1]  Wed 10:13:29 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     23.89      0.81 
     60     24.67      0.82 
    120     24.60      0.81 
    180     23.75      0.80 
    240     24.26      0.81 
    300     24.65      0.82 
    360     23.81      0.80 
    420     23.33      0.79 
    480     23.96      0.81 
    540     24.64      0.81 
    600     22.72      0.78 
    659     24.89      0.82 
    719     22.46      0.78 
    780     23.38      0.80 
    840     24.46      0.81 
    900     24.04      0.81 
    959     25.11      0.82 
   1020     26.25      0.84 
   1080     23.75      0.80 
   1140     23.75      0.80 
   1200     25.58      0.83 
   1260     24.25      0.81 
   1320     23.50      0.80 
   1380     24.67      0.81 
   1440     25.31      0.83 
   1500     25.95      0.84 
   1560     25.17      0.82 
   1620     25.51      0.83 
   1680     26.90      0.85 
   1740     25.43      0.83 
   1800     25.92      0.83 
   1860     24.63      0.81 
   1920     25.02      0.82 
   1980     25.46      0.83 
   2040     25.67      0.83 
   2100     25.48      0.83 
   2160     26.64      0.86 
   2220     23.06      0.79 
   2280     26.11      0.84 
   2340     25.02      0.82 
   2400     24.50      0.82 
   2460     24.55      0.81 
   2520     24.21      0.81 
   2580     24.02      0.80 
   2640     24.56      0.81 
   2700     24.12      0.81 
   2760     25.67      0.83 
   2820     24.44      0.81 
   2880     24.04      0.81 
   2940     23.04      0.79 
   3000     22.88      0.79 
   3060     24.54      0.81 
   3120     22.45      0.78 
   3180     22.53      0.78 
   3240     23.23      0.79 
   3300     23.27      0.79 
   3360     22.05      0.77 
   3420     23.86      0.80 
   3480     22.56      0.78 
   3540     23.44      0.80 
   3600     22.18      0.77 
   3660     21.46      0.76 
   3720     22.91      0.79 
   3780     21.97      0.77 
   3840     22.35      0.78 
   3900     22.74      0.78 
   3960     23.36      0.80 
   4020     22.69      0.78 
   4080     22.89      0.79 
   4140     22.75      0.78 
   4200     22.65      0.78 
   4260     22.25      0.77 
   4320     22.47      0.78 
   4380     21.61      0.76 
   4440     22.11      0.77 
   4500     21.41      0.76 
   4560     22.02      0.77 
   4620     21.82      0.77 
   4680     21.57      0.76 
   4740     21.28      0.76 
   4800     23.27      0.79 
   4860     21.42      0.76 
   4920     22.68      0.78 
   4979     24.11      0.81 
   5040     22.85      0.78 
   5100     22.41      0.78 
   5160     21.59      0.76 
   5220     22.03      0.77 
   5279     22.69      0.78 
   5340     22.68      0.78 
   5400     23.23      0.79 
   5460     23.19      0.79 
   5520     22.20      0.77 
   5580     23.92      0.80 
   5639     22.07      0.77 
   5700     23.19      0.79 
   5759     22.27      0.78 
   5820     22.82      0.78 
   5879     23.21      0.79 
   5939     22.83      0.79 
   6000     22.46      0.78 
   6060     21.29      0.76 
   6119     21.97      0.77 
   6179     23.34      0.79 
   6239     22.48      0.78 
   6300     23.55      0.80 
   6360     24.41      0.81 
   6420     24.45      0.81 
   6479     24.25      0.81 
   6540     23.92      0.80 
   6599     24.35      0.81 
   6659     23.83      0.80 
   6720     24.41      0.81 
   6779     23.38      0.79 
   6840     26.01      0.84 
   6900     23.96      0.80 
   6959     24.99      0.82 
   7020     24.50      0.81 
   7079     24.90      0.82 
   7140     26.00      0.84 
   7199     27.20      0.86 
   7259     29.59      0.89 
   7319     33.42      0.95 
   7379     36.42      0.99 
   7439     40.36      1.04 
   7500     44.48      1.10 
   7560     46.53      1.12 
   7620     45.19      1.11 
   7680     44.37      1.09 
   7740     47.71      1.13 
   7800     43.35      1.08 
   7859     44.72      1.10 
   7920     42.02      1.07 
   7979     42.36      1.07 
   8040     40.99      1.05 
   8099     39.34      1.03 
   8160     39.53      1.03 
   8220     34.98      0.97 
   8279     35.24      0.98 
   8339     34.50      0.96 
   8400     32.67      0.94 
   8459     29.79      0.90 
   8519     31.15      0.92 
   8579     30.44      0.91 
   8640     30.81      0.91 
   8699     29.41      0.89 
   8760     27.82      0.87 
   8820     28.48      0.88 
   8879     27.17      0.85 
   8940     28.49      0.88 
   9000     28.69      0.88 
   9059     26.40      0.84 
   9120     28.26      0.87 
   9179     27.01      0.85 
   9240     27.49      0.86 
   9300     25.37      0.83 
   9359     26.30      0.84 
   9419     24.34      0.81 
   9480     25.73      0.83 
   9540     24.46      0.81 
   9599     24.67      0.82 
   9659     23.11      0.79 
   9720     24.93      0.82 
   9779     23.62      0.80 
   9839     23.91      0.80 
   9899     23.94      0.80 
   9959     25.47      1.84 
