,timestamps,ls
0,0.0,224843.5
1,0.33337402,227408.41
2,0.66662598,229411.56
3,0.98327637,225059.81
4,1.3166504,221917.89
5,1.6500244,219260.97
6,1.9832764,219651.72
7,2.3166504,221924.09
8,2.6500244,222332.92
9,2.9666748,227245.52
10,3.3000488,229181.39
11,3.6333008,228675.75
12,3.9666748,228771.12
13,4.3000488,233211.59
14,4.6333008,242353.33
15,4.9666748,246724.06
16,5.2833252,242827.52
17,5.6166992,233613.59
18,5.9499512,226511.34
19,6.2833252,228189.75
20,6.6166992,233202.3
21,6.9499512,239533.62
22,7.2833252,240166.0
23,7.6166992,237245.22
24,7.9333496,241520.61
25,8.2666016,244978.98
26,8.5999756,236917.41
27,8.9333496,227429.05
28,9.2666016,230203.11
29,9.5999756,234900.77
30,9.916626,238459.89
31,10.333374,240071.52
32,10.68335,233644.33
33,11.133301,227364.84
34,11.466675,229313.48
35,11.800049,228334.78
36,12.133301,230264.67
37,12.449951,236756.0
38,12.783325,237408.44
39,13.116699,239710.7
40,13.449951,243549.09
41,13.783325,240229.73
42,14.116699,234181.95
43,14.449951,232350.03
44,14.766602,237181.61
45,15.099976,240751.66
46,15.43335,234211.52
47,15.766602,233481.83
48,16.099976,235422.25
49,16.43335,235525.91
50,16.766602,229890.53
51,17.099976,223559.92
52,17.416626,222305.55
53,17.75,222298.72
54,18.083374,227482.2
55,18.416626,229910.53
56,18.75,226522.83
57,19.06665,220773.62
58,19.400024,219092.17
59,19.733276,224761.16
60,20.06665,236654.14
61,20.400024,239395.55
62,20.733276,238973.58
63,21.06665,233551.61
64,21.400024,232004.59
65,21.716675,237833.47
66,22.083374,239218.06
67,22.416626,238564.94
68,22.733276,237524.12
69,23.06665,239720.16
70,23.400024,240712.86
71,23.733276,244124.95
72,24.06665,241283.67
73,24.383301,241245.72
74,24.716675,240513.61
75,25.050049,239243.81
76,25.383301,244870.58
77,25.716675,250950.69
78,26.050049,254532.22
79,26.383301,251953.27
80,26.716675,240621.75
81,27.050049,232554.72
82,27.383301,230549.16
83,27.716675,233646.08
84,28.050049,239853.83
85,28.383301,240559.41
86,28.716675,238325.78
87,29.050049,239444.33
88,29.383301,240222.03
89,29.716675,240092.27
90,30.033325,238523.41
91,30.366699,235871.73
