period,40.13,50.01,45.52,56.7,22.94,46.58,54.55,63.25,51.78,40.66,50.17,56.76,15.86,46.14,59.39,45.94,120.54,20.22,13.13,43.46,38.32,55.35,25.39,101.97,102.16,91.86,44.84,47.46,24.5,48.28,22.22,26.9,88.75,219.72,21.47,41.28,33.44,15.01,87.3,48.8,149.49,42.69,67.07,75.35,48.14,53.51,87.25,10.89,43.69,96.39,100.05,147.13,57.89,36.94,50.99,18.47,54.86,39.21,92.52,27.67,19.51,30.07,69.15,124.04,408.77,29.56,57.54,51.84,42.19,25.86,36.19,37.7,79.06,63.49,8.24,21.89,28.73
damping time,31.22,49.57,39.71,44.62,78.6,112.11,99.52,236.03,38.02,57.23,61.47,51.39,75.98,100.49,51.63,34.65235,292.014,21.93,25.94,192.64,39.52,188.54,34.04,145.35,125.09,89.49,53.17,99.78,43.12,97.51,44.09,23.05,122.73,489.97,37.24,54.78,123.97,22.72,278.19,50.98,84.5,96.12,143.62,86.84,63.97,53.21,73.68,18.88,35.62,131.41,147.61,206.73,83.19,76.12,46.1,34.42,163.55,67.65,162.25,26.64,13.58,437.69,90.09,577.67,968.9,43.29,78.32,55.69,59.0,45.27,84.04,87.22,186.56,132.87,17.17,19.88,40.83
