#  Table rgs12o12_b50_21_0160363001.lc[1]  Wed 15:45:32 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
  20150     3.43      0.26 
  20200     2.92      0.29 
  20250     3.30      0.26 
  20300     3.07      0.30 
  20350     3.28      0.26 
  20400     3.29      0.32 
  20450     3.25      0.25 
  20500     3.53      0.31 
  20550     3.24      0.26 
  20600     3.52      0.32 
  20650     3.66      0.27 
  20700     3.09      0.31 
  20800     3.13      0.36 
  20850     3.28      0.26 
  20900     3.19      0.32 
  20950     3.62      0.43 
  21000     4.17      0.53 
  21050     2.95      0.24 
  21100     3.28      0.30 
  21150     3.35      0.27 
  21200     2.99      0.29 
  21250     2.95      0.25 
  21300     3.43      0.32 
  21350     3.40      0.25 
  21400     2.96      0.29 
  21450     3.16      0.26 
  21500     2.59      0.30 
  21550     2.82      0.24 
  21600     3.17      0.29 
  21650     2.92      0.24 
  21700     2.97      0.30 
  21750     2.87      0.25 
  21800     2.79      0.27 
  21850     2.87      0.23 
  21900     2.89      0.30 
  21950     2.62      0.23 
  22000     2.81      0.31 
  22050     2.95      0.24 
  22100     2.92      0.30 
  22150     3.05      0.25 
  22200     3.23      0.33 
  22250     3.28      0.26 
  22300     3.05      0.29 
  22350     2.47      0.22 
  22400     3.33      0.31 
  22450     3.17      0.27 
  22500     2.62      0.30 
  22550     2.76      0.24 
  22600     2.33      0.29 
  22650     2.43      0.22 
  22700     2.87      0.30 
  22750     3.04      0.25 
  22800     2.66      0.28 
  22850     2.87      0.24 
  22900     2.22      0.25 
  22950     3.03      0.26 
  23000     3.10      0.30 
  23050     2.89      0.25 
  23100     2.76      0.29 
  23150     2.30      0.21 
  23200     2.51      0.27 
  23250     2.64      0.23 
  23300     3.13      0.32 
  23350     2.90      0.24 
  23400     2.90      0.28 
  23450     2.53      0.23 
  23500     2.89      0.30 
  23550     3.08      0.25 
  23600     2.25      0.26 
  23650     2.71      0.24 
  23700     3.00      0.31 
  23750     2.63      0.23 
  23800     2.54      0.28 
  23850     2.47      0.22 
  23900     2.58      0.29 
  23950     2.84      0.25 
  24000     2.60      0.28 
  24050     2.93      0.25 
  24100     2.56      0.28 
  24150     2.25      0.22 
  24200     3.00      0.30 
  24250     2.29      0.22 
  24300     2.77      0.31 
  24350     2.64      0.24 
  24400     2.54      0.28 
  24450     2.38      0.22 
  24500     2.67      0.28 
  24550     2.56      0.24 
  24600     2.45      0.30 
  24650     2.64      0.24 
  24700     2.70      0.28 
  24750     2.65      0.23 
  24800     2.87      0.31 
  24850     2.67      0.23 
  24900     2.14      0.27 
  24950     2.17      0.22 
  25000     2.94      0.30 
  25050     2.09      0.21 
  25100     2.53      0.29 
  25150     2.47      0.23 
  25200     2.53      0.27 
  25250     2.49      0.22 
  25300     2.68      0.28 
  25350     2.57      0.23 
  25400     2.49      0.30 
  25450     2.67      0.24 
  25500     2.61      0.30 
  25550     2.41      0.23 
  25600     2.68      0.29 
  25650     2.68      0.27 
  25700     3.01      0.33 
  25750     2.62      0.27 
  25800     2.66      0.32 
  25850     2.84      0.27 
  25900     2.10      0.27 
  25950     2.31      0.22 
  26000     2.53      0.29 
  26050     2.55      0.23 
  26100     2.15      0.28 
  26150     2.44      0.24 
  26200     2.45      0.28 
  26250     2.66      0.25 
  26300     2.79      0.31 
  26350     2.53      0.23 
  26400     2.37      0.29 
  26450     2.68      0.24 
  26500     2.56      0.31 
  26550     2.41      0.23 
  26600     2.18      0.28 
  26650     2.58      0.22 
  26700     2.60      0.30 
  26750     2.95      0.25 
  26800     2.31      0.27 
  26850     2.80      0.25 
  26900     2.83      0.30 
  26950     2.18      0.22 
  27000     2.87      0.29 
  27050     2.38      0.23 
  27100     2.82      0.30 
  27150     2.53      0.24 
  27200     2.22      0.29 
  27250     2.57      0.24 
  27300     3.08      0.32 
  27350     2.65      0.23 
  27400     2.45      0.30 
  27450     2.37      0.23 
  27500     2.56      0.29 
  27550     2.52      0.24 
  27600     2.93      0.31 
  27650     2.55      0.24 
  27700     2.65      0.31 
  27750     2.78      0.26 
  27800     2.30      0.29 
  27850     2.76      0.26 
  27900     2.16      0.29 
  27950     2.77      0.25 
  28000     2.14      0.28 
  28050     2.52      0.26 
  28100     2.02      0.27 
  28150     2.78      0.23 
  28200     2.70      0.28 
  28250     2.98      0.26 
  28300     2.51      0.29 
  28350     2.58      0.25 
  28400     2.77      0.32 
  28450     2.54      0.24 
  28500     2.24      0.29 
  28550     2.50      0.25 
  28600     2.71      0.31 
  28650     2.95      0.27 
  28700     2.66      0.30 
  28750     2.20      0.24 
  28800     2.34      0.28 
  28850     3.28      0.27 
  28900     2.57      0.32 
  28950     2.77      0.24 
  29000     2.56      0.29 
  29050     2.51      0.26 
  29100     2.29      0.33 
  29150     2.56      0.25 
  29200     2.50      0.30 
  29250     2.93      0.27 
  29300     3.28      0.32 
  29350     2.91      0.26 
  29400     2.68      0.31 
  29450     2.43      0.26 
  29500     2.54      0.34 
  29550     2.92      0.28 
  29600     2.27      0.31 
  29650     2.93      0.27 
  29700     2.81      0.33 
  29750     2.83      0.26 
  29800     2.33      0.33 
  29850     2.49      0.29 
  29900     2.69      0.33 
  29950     2.81      0.28 
  30000     2.40      0.34 
  30050     2.90      0.27 
  30100     2.97      0.37 
  30150     2.10      0.28 
  30200     2.43      0.36 
  30250     3.21      0.29 
  30300     2.46      0.34 
  30350     2.51      0.26 
  30400     2.28      0.31 
  30450     2.52      0.31 
  30500     2.18      0.29 
  30550     2.38      0.26 
  30600     3.30      0.40 
  30650     2.54      0.31 
  30700     2.94      0.36 
  30750     1.25      0.39 
  30800     2.78      0.33 
  30850     2.40      0.27 
  30900     2.37      0.31 
  30950     2.73      0.30 
  31000     2.48      0.36 
  31050     2.55      0.30 
  31100     2.88      0.36 
  31150     2.46      0.27 
  31200     2.57      0.32 
  31250     2.42      0.27 
  31300     2.36      0.34 
  31350     2.20      0.28 
  31400     1.77      0.31 
  31450     3.04      0.28 
  31500     2.83      0.32 
  31550     2.14      0.25 
  31600     2.27      0.29 
  31650     1.76      0.23 
  31700     2.55      0.30 
  31750     2.57      0.28 
  31800     2.31      0.34 
  31850     3.11      0.28 
  31900     2.44      0.31 
  31950     2.57      0.28 
  32000     2.61      0.36 
  32050     2.57      0.31 
  32100     2.60      0.39 
  32150     2.82      0.31 
  32200     2.79      0.36 
  32250     2.69      0.34 
  32300     2.30      0.39 
  32350     3.06      0.37 
  32400     2.76      0.37 
  32450     2.47      0.28 
  32500     2.31      0.33 
  32550     2.31      0.28 
  32600     2.55      0.40 
  32650     2.95      0.35 
  32700     2.91      0.40 
  32750     2.28      0.27 
  32800     3.03      0.35 
  32850     2.77      0.31 
  32900     3.23      0.38 
  32950     3.08      0.33 
  33000     2.42      0.38 
  33050     2.93      0.30 
  33100     2.44      0.36 
  33150     2.50      0.27 
  33200     2.91      0.33 
  33250     2.67      0.28 
  33350     2.67      0.33 
  33400     2.43      0.30 
  33450     2.64      0.27 
  33500     2.49      0.33 
  33550     2.81      0.25 
  33600     2.75      0.33 
  33650     2.46      0.26 
  33700     2.66      0.33 
  33750     2.42      0.25 
  33800     2.23      0.32 
  33850     2.56      0.49 
  33900     2.73      0.35 
  33950     2.63      0.25 
  34000     2.98      0.34 
  34050     2.59      0.29 
  34100     2.33      0.38 
  34150     2.89      0.34 
  34200     2.63      0.41 
  34250     2.73      0.30 
  34300     2.83      0.39 
  34350     2.57      0.29 
  34400     2.16      0.34 
  34450     2.40      0.32 
  34500     3.11      0.39 
  34550     2.82      0.31 
  34600     2.90      0.37 
  34650     2.68      0.29 
  34700     2.29      0.35 
  34750     2.38      0.25 
  34800     2.05      0.27 
  34850     2.97      0.27 
  34900     2.27      0.34 
  34950     2.83      0.29 
  35000     2.10      0.34 
  35050     1.35      0.26 
  35100     2.38      0.33 
  35150     2.21      0.28 
  35200     2.80      0.35 
  35250     2.46      0.27 
  35300     2.36      0.36 
  35350     2.88      0.29 
  35400     2.70      0.36 
  35450     2.75      0.32 
  35500     2.25      0.34 
  35550     2.27      0.30 
  35600     2.61      0.34 
  35650     2.91      0.29 
  35700     2.84      0.38 
  35750     2.23      0.28 
  35800     2.79      0.35 
  35850     2.28      0.28 
  35900     2.64      0.36 
  35950     2.52      0.29 
  36000     3.00      0.43 
  36049     2.81      0.36 
  36100     2.47      0.44 
  36150     2.61      0.36 
  36200     2.56      0.42 
  36250     2.46      0.35 
  36300     2.52      0.36 
  36350     2.93      0.29 
  36400     2.62      0.31 
  36450     2.43      0.24 
  36500     2.58      0.34 
  36550     2.69      0.30 
  36600     2.25      0.37 
  36650     2.56      0.31 
  36700     2.66      0.37 
  36750     2.28      0.32 
  36800     2.40      0.37 
  36850     2.56      0.32 
  36900     2.69      0.35 
  36950     2.62      0.29 
  37000     2.11      0.33 
  37049     2.57      0.30 
  37100     3.03      0.39 
  37150     2.38      0.28 
  37200     3.08      0.39 
  37250     2.70      0.29 
  37299     3.25      0.40 
  37350     2.28      0.28 
  37400     3.37      0.40 
  37450     2.71      0.30 
  37500     3.76      0.38 
  37550     2.66      0.28 
  37600     2.41      0.35 
  37650     2.85      0.30 
  37700     3.08      0.38 
  37750     2.48      0.31 
  37800     2.48      0.36 
  37850     2.69      0.32 
  37900     2.95      0.39 
  37950     2.39      0.33 
  38000     2.91      0.39 
  38050     3.46      0.31 
  38100     3.29      0.37 
  38150     2.53      0.28 
  38200     2.77      0.41 
  38250     3.06      0.34 
  38300     2.87      0.39 
  38350     2.54      0.27 
  38400     3.00      0.35 
  38450     2.53      0.29 
  38500     2.90      0.37 
  38550     3.52      0.32 
  38600     2.65      0.38 
  38650     2.74      0.32 
  38700     2.41      0.39 
  38750     3.56      0.35 
  38800     2.55      0.38 
  38850     2.93      0.32 
  38900     2.77      0.39 
  38950     3.45      0.34 
  39000     2.58      0.37 
  39050     2.85      0.30 
  39100     3.92      0.37 
  39150     2.54      0.26 
  39200     3.91      0.41 
  39250     2.53      0.35 
  39300     3.10      0.37 
  39350     3.39      0.33 
  39400     1.55      0.39 
  39450     2.57      0.32 
  39500     2.84      0.42 
  39550     2.99      0.31 
  39600     2.86      0.36 
  39650     2.77      0.32 
  39700     3.10      0.42 
  39750     2.54      0.35 
  39800     3.12      0.44 
  39850     3.30      0.35 
  39900     2.33      0.39 
  39950     2.97      0.31 
  40000     2.77      0.45 
  40050     2.57      0.38 
  40100     1.76      0.45 
  40150     3.08      0.38 
  40200     2.37      0.44 
  40250     2.18      0.35 
  40299     2.22      0.38 
  40350     2.41      0.28 
  40400     2.01      0.35 
  40450     2.70      0.31 
  40500     2.80      0.44 
  40550     2.53      0.35 
  40600     2.38      0.42 
  40650     3.64      0.37 
  40700     2.70      0.43 
  40750     2.35      0.30 
  40800     2.09      0.39 
  40850     2.90      0.33 
  40900     2.68      0.40 
  40950     2.82      0.32 
  41000     2.66      0.40 
  41050     2.37      0.32 
  41100     2.41      0.43 
  41150     2.61      0.34 
  41200     2.66      0.38 
  41250     2.36      0.30 
  41300     2.58      0.40 
  41350     2.84      0.32 
  41400     2.76      0.39 
  41450     2.50      0.32 
  41500     2.60      0.39 
  41549     2.84      0.33 
  41600     3.00      0.43 
  41650     2.61      0.34 
  41700     2.64      0.41 
  41750     3.00      0.31 
  41800     2.93      0.37 
  41850     2.72      0.30 
  41899     2.56      0.34 
  41950     3.02      0.32 
  42000     2.90      0.37 
  42050     2.32      0.30 
  42100     2.75      0.36 
  42150     2.79      0.29 
  42200     2.72      0.35 
  42250     3.00      0.31 
  42299     2.44      0.35 
  42350     2.79      0.31 
  42400     2.31      0.39 
  42450     2.20      0.30 
  42500     3.30      0.39 
  42550     2.60      0.36 
  42600     1.77      0.46 
  42650     2.71      0.32 
  42700     2.09      0.34 
  42750     2.81      0.33 
  42799     2.82      0.38 
  42850     2.73      0.31 
  42900     3.19      0.42 
  42950     2.82      0.34 
  43000     2.88      0.40 
  43050     3.01      0.31 
  43100     2.55      0.39 
  43149     2.49      0.33 
  43200     3.22      0.43 
  43250     2.11      0.32 
  43300     2.33      0.37 
  43350     3.13      0.33 
  43400     2.08      0.35 
  43450     2.33      0.34 
  43499     2.66      0.41 
  43549     3.03      0.33 
  43600     2.93      0.42 
  43650     3.05      0.34 
  43700     3.26      0.40 
  43750     3.20      0.35 
  43800     3.88      0.42 
  43850     2.88      0.33 
  43900     1.97      0.40 
  43950     2.38      0.32 
  44000     2.45      0.43 
  44050     2.88      0.32 
  44100     3.48      0.44 
  44150     2.63      0.32 
  44200     2.68      0.42 
  44250     3.08      0.36 
  44300     3.60      0.47 
  44350     3.25      0.36 
  44400     2.65      0.47 
  44450     3.02      0.36 
  44500     2.11      0.41 
  44550     2.75      0.37 
  44600     3.13      0.46 
  44650     3.01      0.40 
  44700     2.53      0.46 
  44750     3.17      0.35 
  44800     2.40      0.46 
  44850     3.34      0.39 
  44900     2.45      0.47 
  44950     2.65      0.39 
  45000     2.16      0.45 
  45050     2.49      0.49 
  45100     3.44      0.51 
  45150     3.35      0.38 
  45200     2.40      0.38 
  45250     2.57      0.34 
  45300     2.11      0.50 
  45350     2.69      0.43 
  45400     3.06      0.51 
  45450     3.31      0.40 
  45500     3.26      0.47 
  45550     2.53      0.37 
  45600     2.48      0.44 
  45650     1.84      0.33 
  45700     3.19      0.48 
  45750     2.80      0.35 
  45800     2.94      0.41 
  45850     2.53      0.35 
  45900     3.02      0.43 
  45950     2.87      0.37 
  46000     2.20      0.46 
  46050     3.12      0.38 
  46100     3.32      0.50 
  46150     3.07      0.41 
  46200     3.03      0.49 
  46250     3.71      0.39 
  46300     2.72      0.43 
  46350     3.19      0.40 
  46400     2.81      0.49 
  46450     2.30      0.37 
  46500     3.28      0.48 
  46549     3.36      0.52 
  46600     2.61      0.47 
  46650     3.64      0.43 
  46700     3.28      0.51 
  46750     2.40      0.40 
  46800     3.26      0.47 
  46850     2.71      0.36 
  46900     2.84      0.51 
  46950     2.71      0.41 
  47000     2.69      0.46 
  47050     2.27      0.37 
  47100     2.58      0.48 
  47150     3.41      0.37 
  47200     1.95      0.44 
  47250     2.67      0.41 
  47300     2.81      0.48 
  47350     2.34      0.35 
  47400     3.11      0.43 
  47450     3.10      0.37 
  47500     1.94      0.46 
  47550     3.22      0.40 
  47600     2.40      0.48 
  47650     2.82      0.42 
  47700     1.97      0.50 
  47750     2.14      0.42 
  47799     3.27      0.48 
  47850     2.74      0.35 
  47900     3.09      0.37 
  47950     2.52      0.33 
  48000     2.38      0.53 
  48050     3.50      0.42 
  48100     2.14      0.45 
  48149     3.01      0.32 
  48200     2.96      0.40 
  48250     2.47      0.32 
  48300     3.03      0.39 
  48350     2.69      0.28 
  48400     3.00      0.35 
  48450     2.87      0.30 
  48500     2.81      0.35 
  48549     2.78      0.34 
  48600     2.54      0.43 
  48650     2.34      0.31 
  48700     3.00      0.37 
  48750     2.94      0.36 
  48800     2.33      0.44 
  48850     2.48      0.33 
  48900     3.25      0.34 
  48950     2.52      0.26 
  49000     3.03      0.35 
  49049     2.97      0.33 
  49100     3.00      0.40 
  49150     3.24      0.37 
  49200     2.48      0.41 
  49250     2.14      0.36 
  49300     3.42      0.52 
  49350     2.60      0.41 
  49399     3.39      0.46 
  49450     2.56      0.35 
  49500     3.28      0.42 
  49550     2.58      0.32 
  49600     2.38      0.43 
  49650     2.70      0.36 
  49700     2.60      0.44 
  49749     3.17      0.37 
  49799     2.81      0.38 
  49850     2.52      0.30 
  49900     2.80      0.37 
  49950     2.45      0.36 
  50000     2.58      0.53 
  50049     3.99      0.44 
  50100     2.45      0.47 
  50149     2.45      0.40 
  50200     3.07      0.54 
  50250     2.23      0.44 
  50299     2.20      0.52 
  50350     2.28      0.38 
  50400     2.51      0.34 
  50449     3.27      0.30 
  50500     3.13      0.43 
  50549     2.32      0.30 
  50600     2.87      0.46 
  50649     2.47      0.36 
  50700     2.43      0.44 
  50750     3.20      0.42 
  50800     2.18      0.46 
  50849     3.30      0.46 
  50900     1.98      0.51 
  50950     3.53      0.44 
  51000     3.06      0.50 
  51049     2.53      0.30 
  51100     2.33      0.40 
  51150     2.31      0.41 
  51200     2.06      0.53 
  51249     2.42      0.45 
  51300     2.33      0.50 
  51349     2.19      0.36 
  51400     2.09      0.39 
  51450     2.48      0.32 
  51500     2.81      0.38 
  51549     3.28      0.35 
  51600     2.44      0.50 
  51649     1.91      0.38 
  51700     2.75      0.80 
