#  Table rgs12o12_b70_18_0160362701.lc[1]  Fri 17:41:25 06-Dec-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     2.85      0.23 
     69     2.78      0.20 
    140     2.40      0.22 
    210     2.44      0.19 
    280     2.73      0.22 
    350     2.49      0.19 
    420     2.45      0.23 
    490     2.92      0.20 
    559     3.34      0.25 
    630     3.21      0.21 
    699     3.01      0.24 
    770     2.72      0.20 
    840     2.97      0.23 
    909     2.29      0.19 
    980     2.93      0.24 
   1050     2.37      0.18 
   1120     2.60      0.22 
   1190     2.54      0.20 
   1260     2.57      0.23 
   1330     2.46      0.18 
   1400     2.77      0.23 
   1470     2.60      0.19 
   1540     2.10      0.20 
   1610     2.51      0.19 
   1680     2.66      0.23 
   1750     2.39      0.19 
   1820     2.17      0.21 
   1890     2.62      0.19 
   1960     2.75      0.23 
   2030     2.40      0.18 
   2100     2.77      0.23 
   2170     2.23      0.19 
   2240     2.61      0.23 
   2310     2.54      0.19 
   2380     2.37      0.21 
   2450     2.47      0.19 
   2520     2.16      0.21 
   2590     2.48      0.19 
   2660     2.59      0.22 
   2730     2.23      0.18 
   2800     2.02      0.20 
   2870     2.23      0.18 
   2940     1.86      0.19 
   3010     1.85      0.17 
   3080     2.22      0.21 
   3150     2.48      0.20 
   3220     2.49      0.22 
   3290     2.46      0.18 
   3360     2.36      0.22 
   3430     2.42      0.19 
   3500     2.44      0.22 
   3570     2.08      0.17 
   3640     2.78      0.23 
   3710     2.49      0.19 
   3780     2.24      0.21 
   3850     2.58      0.19 
   3920     2.86      0.23 
   3990     2.32      0.18 
   4060     2.64      0.22 
   4130     2.55      0.20 
   4200     2.40      0.22 
   4270     2.27      0.19 
   4340     2.54      0.22 
   4410     2.57      0.20 
   4480     2.79      0.24 
   4550     2.68      0.20 
   4620     2.58      0.22 
   4690     2.59      0.20 
   4760     2.20      0.21 
   4830     2.52      0.19 
   4900     2.40      0.21 
   4970     2.45      0.19 
   5040     2.55      0.22 
   5110     2.38      0.19 
   5180     1.83      0.20 
   5250     2.35      0.21 
   5320     2.15      0.21 
   5389     2.10      0.17 
   5460     1.88      0.20 
   5529     2.16      0.18 
   5599     2.39      0.22 
   5669     2.53      0.19 
   5740     2.64      0.23 
   5810     2.40      0.19 
   5879     2.51      0.23 
   5949     2.50      0.19 
   6020     2.57      0.23 
   6089     2.28      0.19 
   6159     2.75      0.23 
   6229     2.40      0.19 
   6300     2.44      0.21 
   6370     2.46      0.20 
   6440     2.40      0.21 
   6510     2.40      0.20 
   6580     2.50      0.22 
   6650     2.17      0.18 
   6720     2.83      0.23 
   6790     2.81      0.20 
   6859     2.64      0.23 
   6929     2.40      0.19 
   6999     2.40      0.23 
   7070     1.96      0.18 
   7140     2.25      0.22 
   7209     2.58      0.20 
   7279     2.13      0.21 
   7349     2.48      0.19 
   7419     2.21      0.21 
   7489     2.46      0.19 
   7560     2.46      0.24 
   7630     2.22      0.19 
   7700     1.87      0.19 
   7770     2.15      0.18 
   7840     2.43      0.21 
   7909     2.46      0.19 
   7979     2.52      0.22 
   8050     2.41      0.18 
   8120     2.15      0.21 
   8190     2.29      0.19 
   8259     2.44      0.22 
   8329     2.35      0.19 
   8400     2.29      0.22 
   8470     2.05      0.17 
   8540     2.28      0.21 
   8609     2.17      0.18 
   8679     2.36      0.21 
   8750     2.19      0.18 
   8820     1.98      0.20 
   8890     2.39      0.18 
   8959     2.02      0.20 
   9029     2.35      0.19 
   9099     2.37      0.21 
   9170     2.18      0.19 
   9240     2.45      0.22 
   9309     2.39      0.18 
   9379     2.33      0.22 
   9449     2.21      0.18 
   9519     2.79      0.23 
   9589     2.43      0.19 
   9659     2.07      0.20 
   9730     2.11      0.18 
   9800     2.16      0.20 
   9870     1.87      0.16 
   9940     2.54      0.22 
  10010     2.51      0.19 
  10080     2.31      0.22 
  10150     2.50      0.19 
  10220     2.42      0.22 
  10290     1.91      0.17 
  10360     2.33      0.22 
  10430     2.35      0.18 
  10500     2.17      0.22 
  10570     2.53      0.19 
  10640     2.26      0.21 
  10710     2.17      0.18 
  10780     1.79      0.19 
  10850     2.13      0.18 
  10920     2.22      0.21 
  10990     2.07      0.18 
  11060     2.63      0.23 
  11130     2.23      0.18 
  11200     2.28      0.21 
  11270     2.46      0.19 
  11340     2.18      0.20 
  11410     2.24      0.18 
  11480     2.61      0.23 
  11550     2.60      0.20 
  11620     2.58      0.22 
  11690     2.38      0.19 
  11760     2.27      0.21 
  11830     2.37      0.19 
  11900     2.65      0.23 
  11970     2.65      0.20 
  12040     2.61      0.22 
  12110     2.77      0.21 
  12180     2.89      0.24 
  12250     2.80      0.20 
  12320     2.41      0.21 
  12390     2.22      0.19 
  12460     2.67      0.23 
  12530     2.59      0.19 
  12600     2.39      0.21 
  12670     2.13      0.18 
  12740     2.54      0.22 
  12810     2.63      0.19 
  12880     2.69      0.22 
  12950     2.21      0.18 
  13020     2.47      0.22 
  13090     2.52      0.19 
  13160     2.89      0.24 
  13230     2.30      0.18 
  13300     2.76      0.23 
  13370     2.41      0.18 
  13440     2.66      0.23 
  13510     2.53      0.19 
  13580     2.32      0.22 
  13650     2.59      0.20 
  13720     2.65      0.22 
  13790     2.84      0.20 
  13860     2.24      0.21 
  13930     2.51      0.19 
  14000     2.30      0.22 
  14070     2.80      0.20 
  14140     2.60      0.22 
  14210     2.54      0.20 
  14280     2.59      0.23 
  14350     2.58      0.19 
  14420     2.78      0.23 
  14490     2.93      0.21 
  14560     2.91      0.23 
  14630     2.45      0.20 
  14700     2.42      0.22 
  14770     2.71      0.21 
  14840     2.76      0.23 
  14910     2.70      0.20 
  14980     2.65      0.23 
  15050     2.65      0.19 
  15120     2.61      0.22 
  15190     2.54      0.19 
  15260     2.36      0.22 
  15330     2.80      0.21 
  15400     3.00      0.25 
  15470     2.58      0.20 
  15540     2.65      0.23 
  15610     2.60      0.20 
  15680     2.69      0.23 
  15750     2.69      0.19 
  15820     2.76      0.23 
  15890     2.34      0.19 
  15960     1.99      0.19 
  16030     2.97      0.20 
  16100     2.41      0.21 
  16170     2.76      0.20 
  16240     2.65      0.23 
  16310     2.44      0.19 
  16380     2.39      0.22 
  16450     2.56      0.19 
  16520     2.51      0.22 
  16590     2.58      0.19 
  16660     2.66      0.23 
  16730     2.63      0.21 
  16800     2.24      0.21 
  16870     2.13      0.18 
  16940     2.71      0.24 
  17010     2.51      0.19 
  17080     2.77      0.23 
  17150     2.76      0.20 
  17220     2.57      0.22 
  17290     2.93      0.20 
  17360     2.52      0.21 
  17430     2.72      0.20 
  17500     2.54      0.22 
  17570     2.13      0.18 
  17640     2.40      0.22 
  17710     2.48      0.19 
  17780     2.39      0.21 
  17850     2.55      0.19 
  17920     2.22      0.21 
  17990     2.05      0.17 
  18060     2.62      0.23 
  18130     2.49      0.19 
  18200     2.52      0.22 
  18270     2.43      0.18 
  18340     2.51      0.21 
  18410     2.39      0.19 
  18480     2.15      0.21 
  18550     2.51      0.19 
