,time,counts,error
0,0.0,5.99,0.43
1,50.0,10.799832193833884,0.34
2,100.0,7.228071944441261,0.41
3,150.0,0.4028567105186056,0.31
4,200.0,2.0600761900285245,0.37
5,250.0,8.896996733890004,0.32
6,300.0,9.44332720933687,0.40
7,350.0,2.7444731120099153,0.32
8,400.0,0.9573017160713322,0.42
9,450.0,6.191529086970877,0.32
10,500.0,9.749200945448948,0.38
11,550.0,5.584907797848869,0.31
12,600.0,-0.047333750500848204,0.39
13,650.0,2.794193640060602,0.32
14,699.0,7.37404315669623,0.39
15,750.0,8.499460506602759,0.32
16,800.0,1.8865816344308044,0.38
17,849.0,-0.17784908282399225,0.31
18,900.0,6.0772872617098095,0.35
19,949.0,10.743912231465167,0.34
20,1000.0,5.3112560101399175,0.42
21,1050.0,0.8456792621348468,0.33
22,1100.0,4.393096837268814,0.41
23,1150.0,9.384580638822658,0.31
24,1200.0,8.112709251064349,0.39
25,1250.0,1.910027034383198,0.33
26,1300.0,1.2358462740516591,0.38
27,1350.0,7.582274497062691,0.32
28,1400.0,10.232012606275944,0.39
29,1450.0,4.2029509898754265,0.34
30,1500.0,-0.8628100413305235,0.35
31,1550.0,4.3925890672129295,0.30
32,1600.0,10.105849160824798,0.41
33,1650.0,6.963317097257621,0.31
34,1700.0,0.5938505641901548,0.38
35,1750.0,1.23247267582925,0.29
36,1800.0,8.063009476552322,0.37
37,1850.0,9.48524269748749,0.32
38,1900.0,3.2256672078074438,0.38
39,1950.0,-0.031949460605338764,0.32
40,2000.0,5.417259476062599,0.38
41,2050.0,10.01246296811648,0.31
42,2100.0,6.203999736203741,0.38
43,2150.0,-0.3262082638823651,0.30
44,2200.0,1.1680371142500992,0.35
45,2250.0,8.028231990797961,0.29
46,2300.0,8.409989230516409,0.38
47,2350.0,1.774151196654377,0.29
48,2400.0,-0.23535429721020318,0.35
49,2450.0,5.251243185251309,0.29
50,2500.0,10.150036403130425,0.38
51,2550.0,4.329265401137258,0.28
52,2600.0,-0.5881824935216979,0.34
53,2650.0,2.8217331761990945,0.30
54,2700.0,8.789538893977237,0.37
55,2750.0,7.751365848011703,0.30
56,2800.0,1.8014813082788104,0.41
57,2850.0,0.6990007900056128,0.31
58,2900.0,6.65899498736837,0.37
59,2950.0,9.688642051684369,0.31
60,3000.0,4.6746817529343385,0.39
61,3050.0,-0.42423569183060383,0.30
62,3100.0,2.890417297972781,0.47
63,3150.0,9.461934596970199,0.31
64,3200.0,7.227877425938978,0.37
65,3250.0,0.7483773711450383,0.30
66,3300.0,2.1990203307663254,0.43
67,3350.0,7.456053479730365,0.30
68,3400.0,9.342808571722113,0.38
69,3450.0,3.266111074891013,0.30
70,3500.0,-0.08089636047770377,0.39
71,3550.0,5.009301058503077,0.32
72,3600.0,9.804279630288793,0.37
73,3650.0,6.730866537383481,0.32
74,3700.0,0.5725808982668994,0.36
75,3750.0,1.5988498550688561,0.30
76,3800.0,8.299772778111018,0.38
77,3850.0,8.581385227607079,0.29
78,3900.0,2.2789366544634757,0.37
79,3950.0,-0.32916177859745765,0.29
80,4000.0,5.812692675185296,0.41
81,4050.0,9.559623858932664,0.30
82,4100.0,5.753875032343406,0.38
83,4150.0,-0.13167561451971554,0.30
84,4200.0,2.1693501478088355,0.37
85,4250.0,8.689999922882958,0.30
86,4300.0,7.997277182152846,0.34
87,4349.0,3.971660696312282,0.31
88,4400.0,0.14553182881207682,0.39
89,4450.0,5.574765521952126,0.28
90,4500.0,9.55541438171815,0.38
91,4550.0,4.69193983057164,0.31
92,4600.0,-0.3040944250834414,0.37
93,4650.0,3.138669759958813,0.31
94,4700.0,8.379677714327183,0.34
95,4750.0,7.477059464597982,0.30
96,4800.0,-0.09660394245036086,0.32
97,4850.0,0.15347190464125582,0.29
98,4900.0,6.540330680918934,0.36
99,4950.0,8.603571896189628,0.28
100,5000.0,3.4808439924087056,0.35
101,5050.0,-0.788620581269992,0.29
102,5100.0,3.6628986507766763,0.35
103,5150.0,8.565354944502811,0.28
104,5200.0,5.710481161897754,0.34
105,5250.0,0.3467746750384677,0.30
106,5300.0,0.9709600913068441,0.36
107,5349.0,4.0559576995941455,0.26
108,5400.0,8.840433244810246,0.35
109,5450.0,2.176345470318646,0.28
110,5500.0,-0.683623042634327,0.35
111,5549.0,1.5486511448101652,0.28
112,5599.0,8.125834739419002,0.36
113,5650.0,4.89987466445445,0.27
114,5700.0,-0.21620957357285953,0.39
115,5749.0,-0.9101900227021713,0.27
116,5799.0,5.850229796197594,0.35
117,5849.0,9.094266325667668,0.29
118,5900.0,1.243406611476626,0.33
119,5949.0,-1.70522942547132,0.26
120,6000.0,4.14448265618465,0.30
121,6049.0,8.463944056437072,0.29
122,6099.0,6.453630784053335,0.31
123,6149.0,0.2235359389475362,0.27
124,6199.0,-0.3906826718539027,0.34
125,6250.0,8.141166873272294,0.27
126,6300.0,7.206431785477282,0.35
127,6350.0,1.0254474592907439,0.29
128,6400.0,-0.12081122158882618,0.37
129,6450.0,5.5703400431016545,0.27
130,6500.0,8.41556298480118,0.34
131,6550.0,3.254757700960821,0.27
132,6599.0,-0.4407252762947822,0.32
133,6650.0,2.4032810031195444,0.26
134,6700.0,8.526916842279789,0.33
135,6750.0,6.537994703932997,0.28
136,6799.0,2.2702208242798,0.37
137,6849.0,-1.4244922017521855,0.25
138,6900.0,6.069651704429074,0.32
139,6950.0,8.314355284110855,0.27
140,6999.0,4.944997458133014,0.34
141,7049.0,-1.1723215313158835,0.26
142,7099.0,0.28298864677236457,0.31
143,7150.0,8.224261887239813,0.26
144,7199.0,7.342338184616016,0.31
145,7249.0,1.1631272677397355,0.26
146,7299.0,-1.1123393639912806,0.32
147,7349.0,4.998452799008455,0.29
148,7399.0,8.434290938253582,0.34
149,7449.0,4.036465239836804,0.26
150,7500.0,-2.071282863630448,0.29
151,7550.0,4.023208701403815,0.27
152,7600.0,9.03550404801696,0.35
153,7650.0,4.432084596948693,0.26
154,7700.0,-0.8317091293275296,0.32
155,7750.0,1.1565970564578083,0.26
156,7800.0,7.708968019581112,0.35
157,7849.0,7.808435464116057,0.26
158,7900.0,0.6706900388380594,0.33
159,7950.0,-1.0408937430345087,0.26
