#  Table mos_b50_27_0602240201.lc[1]  Mon 11:33:45 02-Dec-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     12.55      0.67 
     50     13.67      0.55 
    100     13.31      0.53 
    150     13.12      0.55 
    200     13.06      0.56 
    250     12.66      0.55 
    300     13.36      0.54 
    350     12.33      0.54 
    400     12.26      0.55 
    450     12.68      0.56 
    500     13.56      0.56 
    550     11.81      0.52 
    600     13.54      0.57 
    650     12.88      0.53 
    699     12.74      0.55 
    750     12.43      0.55 
    800     14.11      0.58 
    849     12.97      0.55 
    900     14.17      0.57 
    949     12.37      0.54 
   1000     13.09      0.55 
   1050     13.02      0.56 
   1100     12.32      0.53 
   1150     12.92      0.54 
   1200     12.78      0.54 
   1250     12.44      0.53 
   1300     13.39      0.55 
   1350     12.24      0.54 
   1400     11.95      0.52 
   1450     12.65      0.53 
   1500     12.07      0.53 
   1550     12.05      0.53 
   1600     11.47      0.52 
   1650     12.62      0.53 
   1700     12.50      0.53 
   1750     12.13      0.54 
   1800     13.51      0.56 
   1850     12.50      0.55 
   1900     12.62      0.55 
   1950     13.35      0.55 
   2000     14.76      0.58 
   2050     14.40      0.58 
   2100     13.74      0.57 
   2150     12.82      0.55 
   2200     13.95      0.56 
   2250     11.40      0.54 
   2300     12.05      0.53 
   2350     13.64      0.56 
   2400     12.26      0.53 
   2450     12.28      0.55 
   2500     12.11      0.55 
   2550     12.79      0.55 
   2600     12.83      0.56 
   2650     11.67      0.51 
   2700     12.06      0.53 
   2750     11.35      0.52 
   2800     11.76      0.50 
   2850     11.69      0.51 
   2900     12.42      0.53 
   2950     11.94      0.52 
   3000     12.03      0.52 
   3050     11.14      0.52 
   3100     11.75      0.53 
   3150     11.89      0.51 
   3200     12.48      0.52 
   3250     11.70      0.54 
   3300     11.72      0.52 
   3350     13.35      0.56 
   3400     11.62      0.53 
   3450     12.14      0.52 
   3500     11.60      0.51 
   3550     11.14      0.53 
   3600     11.48      0.51 
   3650     11.54      0.52 
   3700     11.25      0.49 
   3750     11.56      0.52 
   3800     11.63      0.52 
   3850     10.97      0.50 
   3900     11.35      0.51 
   3950     11.43      0.52 
   4000     11.85      0.53 
   4050     12.03      0.54 
   4100     10.81      0.52 
   4150     11.11      0.52 
   4200     11.79      0.54 
   4250     11.85      0.51 
   4300     12.13      0.52 
   4349     10.95      0.51 
   4400     11.43      0.52 
   4450     11.76      0.52 
   4500     10.32      0.49 
   4550     11.56      0.50 
   4600     11.73      0.54 
   4650     11.64      0.51 
   4700     11.20      0.49 
   4750     10.83      0.53 
   4800     10.85      0.49 
   4850     11.14      0.50 
   4900     11.71      0.52 
   4950     11.53      0.50 
   5000     10.98      0.51 
   5050     11.36      0.50 
   5100     11.30      0.53 
   5150     11.34      0.51 
   5200     10.47      0.50 
   5250     10.88      0.50 
   5300     11.14      0.51 
   5349     11.27      0.51 
   5400     11.13      0.50 
   5450     11.89      0.52 
   5500     12.07      0.53 
   5549     10.68      0.50 
   5599     11.31      0.50 
   5650     11.15      0.50 
   5700     10.22      0.51 
   5749     10.77      0.52 
   5799     10.71      0.50 
   5849     11.34      0.51 
   5900     11.92      0.52 
   5949     11.04      0.50 
   6000     9.90      0.51 
   6049     10.75      0.49 
   6099     10.83      0.50 
   6149     11.34      0.53 
   6199     11.05      0.51 
   6250     12.23      0.52 
   6300     11.90      0.52 
   6350     10.17      0.50 
   6400     10.53      0.50 
   6450     12.04      0.52 
   6500     10.73      0.50 
   6550     11.00      0.51 
   6599     10.91      0.48 
   6650     10.75      0.51 
   6700     9.76      0.50 
   6750     11.56      0.53 
   6799     12.21      0.52 
   6849     10.77      0.50 
   6900     11.44      0.53 
   6950     10.04      0.50 
   6999     11.21      0.51 
   7049     10.77      0.51 
   7099     11.39      0.51 
   7150     12.18      0.52 
   7199     11.07      0.52 
   7249     10.84      0.50 
   7299     11.08      0.52 
   7349     11.08      0.50 
   7399     10.69      0.50 
   7449     11.97      0.53 
   7500     10.44      0.51 
   7550     11.43      0.50 
   7600     12.75      0.52 
   7650     10.83      0.50 
   7700     10.08      0.49 
   7750     10.58      0.52 
   7800     10.84      0.50 
   7849     11.45      0.51 
   7900     10.49      0.49 
   7950     11.81      0.51 
   8000     10.82      0.50 
   8050     10.96      0.48 
   8099     11.29      0.51 
   8150     11.27      0.52 
   8199     11.47      0.50 
   8249     11.06      0.51 
   8300     10.73      0.48 
   8349     11.43      0.51 
   8400     11.07      0.53 
   8449     11.47      0.53 
   8499     11.04      0.52 
   8550     10.17      0.48 
   8599     10.99      0.51 
   8649     11.43      0.51 
   8699     10.57      0.50 
   8750     10.68      0.51 
   8800     10.24      0.49 
   8850     10.75      0.51 
   8900     10.95      0.50 
   8949     10.58      0.50 
   9000     11.45      0.51 
   9050     10.47      0.49 
   9099     11.54      0.52 
   9150     9.85      0.48 
   9199     10.38      0.48 
   9250     10.98      0.51 
   9300     10.21      0.50 
   9349     10.47      0.49 
   9400     10.37      0.48 
   9449     10.03      0.49 
   9499     9.97      0.47 
   9550     9.57      0.47 
   9599     9.93      0.49 
   9650     10.99      0.53 
   9699     11.20      0.51 
   9749     10.89      0.51 
   9800     10.28      0.48 
   9849     11.84      0.51 
   9899     12.07      0.54 
