#  Table rgs12o12_b50_19_0160362801.lc[1]  Wed 15:45:26 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     3.78      0.33 
     50     3.79      0.28 
    100     3.45      0.32 
    150     3.77      0.27 
    200     4.17      0.34 
    250     3.50      0.27 
    300     3.86      0.34 
    350     4.15      0.29 
    400     4.00      0.34 
    450     3.33      0.26 
    500     4.00      0.34 
    550     4.13      0.28 
    600     3.17      0.32 
    650     3.45      0.26 
    699     3.97      0.34 
    750     3.76      0.27 
    800     3.66      0.32 
    849     3.89      0.28 
    900     3.63      0.33 
    949     3.60      0.27 
   1000     3.94      0.35 
   1050     3.32      0.25 
   1100     4.38      0.37 
   1150     3.58      0.27 
   1200     3.72      0.35 
   1250     3.63      0.26 
   1300     3.71      0.33 
   1350     3.75      0.27 
   1400     4.09      0.34 
   1450     3.67      0.28 
   1500     3.71      0.34 
   1550     3.92      0.27 
   1600     3.86      0.34 
   1650     3.84      0.28 
   1700     3.71      0.33 
   1750     3.59      0.27 
   1800     3.62      0.32 
   1850     4.07      0.28 
   1900     3.94      0.33 
   1950     3.57      0.27 
   2000     3.78      0.33 
   2050     4.09      0.29 
   2100     3.58      0.33 
   2150     4.29      0.29 
   2200     3.60      0.34 
   2250     3.71      0.27 
   2300     3.56      0.32 
   2350     3.89      0.28 
   2400     3.37      0.30 
   2450     3.38      0.26 
   2500     4.13      0.34 
   2550     3.79      0.27 
   2600     3.52      0.31 
   2650     3.98      0.28 
   2700     3.74      0.33 
   2750     3.56      0.27 
   2800     3.90      0.35 
   2850     3.50      0.26 
   2900     3.04      0.29 
   2950     4.15      0.28 
   3000     4.04      0.36 
   3050     4.13      0.29 
   3100     4.49      0.35 
   3150     4.13      0.29 
   3200     4.32      0.36 
   3250     4.42      0.30 
   3300     4.33      0.37 
   3350     4.36      0.29 
   3400     4.21      0.36 
   3450     4.12      0.27 
   3500     4.89      0.39 
   3550     4.46      0.30 
   3600     3.60      0.33 
   3650     3.82      0.27 
   3700     3.64      0.32 
   3750     4.01      0.29 
   3800     3.10      0.30 
   3850     4.11      0.28 
   3900     3.87      0.36 
   3950     4.36      0.28 
   4000     4.22      0.36 
   4050     3.64      0.26 
   4100     4.00      0.35 
   4150     3.21      0.25 
   4200     4.13      0.34 
   4250     3.82      0.27 
   4300     3.56      0.32 
   4349     4.00      0.29 
   4400     3.81      0.33 
   4450     4.08      0.27 
   4500     3.35      0.32 
   4550     3.63      0.27 
   4600     3.44      0.32 
   4650     3.63      0.26 
   4700     4.31      0.35 
   4750     3.91      0.28 
   4800     3.05      0.30 
   4850     3.79      0.27 
   4900     3.96      0.34 
   4950     3.94      0.28 
   5000     3.87      0.32 
   5050     3.76      0.26 
   5100     3.78      0.37 
   5150     3.83      0.28 
   5200     4.22      0.36 
   5250     3.85      0.28 
   5300     3.36      0.31 
   5349     3.87      0.28 
   5400     4.04      0.33 
   5450     3.79      0.28 
   5500     3.36      0.32 
   5549     2.79      0.29 
   5599     3.19      0.32 
   5650     3.03      0.25 
   5700     3.65      0.36 
   5749     3.03      0.24 
   5799     3.64      0.32 
