File name: s01_magneto_3s_19740701_19740701
Metadata Description:
dimensions:
record = UNLIMITED; //(20036 currently)
orbit = 1;

variables:
double time_tag_orbit(orbit);
time_tag_orbit:long_name = "Date and time for each west_longitude and inclination pair";
time_tag_orbit:units = "Date and time in the format YYYY-mm-dd hh:mm:ss.SSS UTC";
time_tag_orbit:calendar = "gregorian";

float west_longitude(orbit);
west_longitude:description = "West longitude of satellite sub-orbit point at the given date and time.";
west_longitude:long_label = "West longitude";
west_longitude:short_label = "w long";
west_longitude:plot_label = "West longitude";
west_longitude:lin_log = "lin";
west_longitude:units = "degrees";
west_longitude:format = "F5.1";
west_longitude:nominal_min = " 70.0";
west_longitude:nominal_max = "140.0";
west_longitude:missing_value = "-99999";

float inclination(orbit);
inclination:description = "Inclination -- the angle between the plane of the orbit and the equatorial plane measured counter-clockwise from true East.";
inclination:long_label = "inclination";
inclination:short_label = "incl";
inclination:plot_label = "inclination";
inclination:lin_log = "lin";
inclination:units = "degrees";
inclination:format = "F6.3";
inclination:nominal_min = "0.0";
inclination:nominal_max = " 1.000";
inclination:missing_value = "-99999";

double time_tag(record) ;
time_tag:long_name = "Date and time for each observation" ;
time_tag:units = "Date and time in the format YYYY-mm-dd hh:mm:ss.SSS UTC" ;
time_tag:calendar = "gregorian" ;

float flagword(record);
flagword:description = "Packed-binary flagword containing status information for each full-resolution measurement.";
flagword:long_label = "flagword";
flagword:short_label = "flagword";
flagword:plot_label = "flagword";
flagword:lin_log = "lin";
flagword:units = "flagword";
flagword:format = "I";
flagword:nominal_min = "0";
flagword:nominal_max = "100000";
flagword:missing_value = "-99999";

float hp(record);
hp:description = "Magnetic field component in the direction perpendicular to orbit plane positive Northward. ";
hp:long_label = "Hp flux (Northward)";
hp:short_label = "Hp fx";
hp:plot_label = "Hp ";
hp:lin_log = "lin";
hp:units = "nT";
hp:format = "F7.2";
hp:nominal_min = "-200.00";
hp:nominal_max = " 200.00";
hp:missing_value = "-99999";

float he(record);
he:description = "Magnetic field component in the Earthward direction perpendicular to HP";
he:long_label = "He flux (Earthward)";
he:short_label = "He fx";
he:plot_label = "He ";
he:lin_log = "lin";
he:units = "nT";
he:format = "F7.2";
he:nominal_min = "-200.00";
he:nominal_max = " 200.00";
he:missing_value = "-99999";

float hn(record);
hn:description = "Magnetic field component in the Eastward direction perpendicular to HP and HE; GOES-5 and later.";
hn:long_label = "Hn flux (East)";
hn:short_label = "Hn fx E";
hn:plot_label = "Hn (East)";
hn:lin_log = "lin";
hn:units = "nT";
hn:format = "F7.2";
hn:nominal_min = "-200.00";
hn:nominal_max = " 200.00";
hn:missing_value = "-99999";

float comment(record);
comment:description = "Data flags and other information described via ascii acronyms.";
comment:long_label = "comment";

// global attributes
:conventions = "GOES Space Weather"
:title = "SMS Magnetometer"
:institution = "NOAA"
:source = "Satellite Insitu Observations"
:satellite_id = "SMS-01"
:instrument = "Magnetometer"
:process-type = "Full resolution"
:process-level = "level 1b"
:sample-time = "3.06"
:sample-unit = "seconds"
:creation_date = "2021-02-26 18:29:22.058 UTC"
:start_date = "1974-07-01 00:00:02.000 UTC"
:end_date = "1974-07-01 23:59:58.000 UTC"
:records_maximum = "28236"
:records_present = "20036"
:records_missing = "8200"
:originating_agency = "DOC/NOAA/NCEP/NWS/SWPC"
:archiving_agency = "DOC/NOAA/NESDIS/NCEI"

satellite location:
time_tag_orbit,west_longitude,inclination
1974-07-01 00:00:00.0,-99999,-99999

data: 
time_tag,flagword,hp,he,hn,comment
1974-07-01 00:00:02.000,3472065,  92.30,  51.10,  46.30,
1974-07-01 00:01:00.000,3472065,  92.10,  51.10,  46.30,
1974-07-01 00:01:03.000,3472065,  91.90,  51.10,  46.30,
1974-07-01 00:01:06.000,3472065,  91.90,  51.10,  46.30,
1974-07-01 00:01:10.000,3472065,  91.80,  51.10,  46.30,
1974-07-01 00:01:13.000,3472065,  91.60,  51.10,  46.30,
1974-07-01 00:01:16.000,3472065,  91.50,  51.10,  46.30,
1974-07-01 00:01:19.000,3472065,  91.40,  51.10,  46.30,
1974-07-01 00:01:22.000,3472065,  91.40,  51.10,  46.30,
1974-07-01 00:01:25.000,3472065,  91.50,  51.10,  46.30,
1974-07-01 00:01:28.000,3472065,  65.50,  51.10,  46.30,
1974-07-01 00:01:31.000,3472065,  65.50,  51.10,  46.30,
1974-07-01 00:01:34.000,3472065,  65.60,  51.10,  46.30,
1974-07-01 00:01:37.000,3472065,  65.70,  51.10,  46.30,
1974-07-01 00:01:40.000,3472065,  65.80,  51.10,  46.30,
1974-07-01 00:01:43.000,3472065,  65.80,  51.10,  46.30,
1974-07-01 00:01:46.000,3472065,  66.00,  51.10,  46.30,
1974-07-01 00:01:49.000,3472065,  66.00,  51.10,  46.30,
1974-07-01 00:01:52.000,3472065,  65.90,  51.00,  46.30,
1974-07-01 00:01:55.000,3472065,  65.90,  51.10,  46.30,
1974-07-01 00:01:59.000,3472065,  65.90,  51.10,  46.30,
1974-07-01 00:02:02.000,3472065,  66.00,  51.10,  46.30,
1974-07-01 00:02:05.000,3472065,  66.00,  51.10,  46.30,
1974-07-01 00:02:08.000,3472065,  65.90,  51.10,  46.30,
1974-07-01 00:02:11.000,3472065,  65.90,  51.00,  46.30,
1974-07-01 00:02:14.000,3472065,  65.70,  50.80,  46.90,
1974-07-01 00:02:17.000,3472065,  65.70,  50.90,  46.30,
1974-07-01 00:02:20.000,3472065,  65.60,  50.80,  46.30,
1974-07-01 00:02:23.000,3472065,  65.40,  50.80,  46.20,
1974-07-01 00:02:26.000,3472065,  65.40,  50.70,  46.30,
1974-07-01 00:02:29.000,3472065,  65.40,  50.80,  46.30,
1974-07-01 00:02:32.000,3472065,  65.20,  50.70,  46.30,
1974-07-01 00:02:35.000,3472065,  65.40,  50.70,  46.30,
1974-07-01 00:02:38.000,3472065,  65.40,  50.60,  46.20,
1974-07-01 00:02:41.000,3472065,  65.50,  50.70,  46.30,
1974-07-01 00:02:44.000,3472065,  65.60,  50.70,  46.30,
1974-07-01 00:02:48.000,3472065,  65.70,  50.70,  46.30,
1974-07-01 00:02:51.000,3472065,  65.80,  50.70,  46.30,
1974-07-01 00:02:54.000,3472065,  65.70,  50.60,  46.10,
1974-07-01 00:02:57.000,3472065,  65.70,  50.60,  46.20,
1974-07-01 00:03:00.000,3472065,  65.80,  50.70,  46.30,
1974-07-01 00:03:03.000,3472065,  65.60,  50.60,  46.20,
1974-07-01 00:03:06.000,3472065,  65.50,  50.60,  46.20,
1974-07-01 00:03:09.000,3472065,  65.40,  50.60,  46.20,
1974-07-01 00:03:12.000,3472065,  65.20,  50.60,  46.20,
1974-07-01 00:03:15.000,3472065,  65.20,  50.60,  46.10,
1974-07-01 00:03:18.000,3472065,  65.20,  50.60,  46.00,
1974-07-01 00:03:21.000,3472065,  65.10,  50.60,  46.10,
1974-07-01 00:03:24.000,3472065,  65.10,  50.60,  46.20,
1974-07-01 00:03:27.000,3472065,  65.10,  50.60,  46.10,
1974-07-01 00:03:30.000,3472065,  65.20,  50.50,  46.00,
1974-07-01 00:03:34.000,3472065,  65.30,  50.60,  46.20,
1974-07-01 00:03:37.000,3472065,  65.40,  50.60,  45.90,
1974-07-01 00:03:40.000,3472065,  65.60,  50.60,  46.00,
1974-07-01 00:03:43.000,3472065,  65.60,  50.60,  45.90,
1974-07-01 00:03:46.000,3472065,  65.70,  50.60,  45.90,
1974-07-01 00:03:49.000,3472065,  65.70,  50.10,  46.10,
1974-07-01 00:03:52.000,3472065,  65.80,  50.60,  45.90,
