#  Table rgs12o12_b70_07_0134521301.lc[1]  Wed 15:44:54 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     3.70      0.26 
     69     2.67      0.19 
    140     3.17      0.25 
    210     2.76      0.21 
    280     2.98      0.24 
    350     2.82      0.20 
    420     2.47      0.22 
    490     2.89      0.20 
    559     2.72      0.23 
    630     2.87      0.21 
    699     3.14      0.24 
    770     2.83      0.21 
    840     3.03      0.23 
    909     3.07      0.22 
    980     3.04      0.24 
   1050     2.77      0.20 
   1120     2.63      0.22 
   1190     2.84      0.20 
   1260     3.13      0.26 
   1330     2.92      0.20 
   1400     2.63      0.22 
   1470     2.47      0.19 
   1540     2.91      0.23 
   1610     2.49      0.19 
   1680     2.53      0.22 
   1750     2.71      0.19 
   1820     2.70      0.25 
   1890     2.97      0.22 
   1960     2.93      0.23 
   2030     2.57      0.19 
   2100     2.62      0.22 
   2170     2.82      0.20 
   2240     2.58      0.24 
   2310     2.57      0.20 
   2380     2.79      0.22 
   2450     2.40      0.20 
   2520     2.62      0.24 
   2590     2.94      0.20 
   2660     2.55      0.24 
   2730     2.76      0.20 
   2800     2.45      0.22 
   2870     2.35      0.20 
   2940     2.76      0.23 
   3010     2.43      0.18 
   3080     2.79      0.23 
   3150     2.46      0.19 
   3220     2.52      0.22 
   3290     2.98      0.20 
   3360     2.58      0.22 
   3430     2.66      0.20 
   3500     2.30      0.21 
   3570     2.22      0.20 
   3640     2.76      0.23 
   3710     2.44      0.19 
   3780     2.68      0.24 
   3850     2.37      0.19 
   3920     2.66      0.22 
   3990     2.52      0.19 
   4060     2.22      0.21 
   4130     2.65      0.19 
   4200     2.60      0.24 
   4270     2.25      0.19 
   4340     2.69      0.22 
   4410     2.62      0.21 
   4480     2.49      0.22 
   4550     2.37      0.18 
   4620     2.38      0.22 
   4690     2.39      0.19 
   4760     2.87      0.23 
   4830     2.48      0.20 
   4900     2.63      0.23 
   4970     2.47      0.18 
   5040     2.87      0.23 
   5110     2.40      0.18 
   5180     2.56      0.22 
   5250     2.44      0.20 
   5320     2.73      0.25 
   5389     2.31      0.18 
   5460     2.59      0.22 
   5529     2.42      0.20 
   5599     2.65      0.24 
   5669     2.71      0.19 
   5740     2.62      0.25 
   5810     2.53      0.19 
   5879     2.41      0.22 
   5949     2.77      0.20 
   6020     2.29      0.21 
   6089     2.53      0.18 
   6159     2.51      0.24 
   6229     2.68      0.19 
   6300     2.89      0.23 
   6370     2.67      0.20 
   6440     2.63      0.23 
   6510     2.66      0.19 
   6580     2.82      0.24 
   6650     2.71      0.21 
   6720     2.55      0.25 
   6790     3.07      0.28 
   6859     2.41      0.41 
   6929     2.18      0.18 
   6999     2.88      0.26 
   7070     2.35      0.18 
   7140     2.94      0.23 
   7209     2.13      0.19 
   7279     2.43      0.23 
   7349     2.84      0.20 
   7419     2.45      0.22 
   7489     2.75      0.23 
   7560     2.41      0.22 
   7630     2.66      0.20 
   7700     2.90      0.26 
   7770     2.81      0.24 
   7840     2.96      0.26 
   7909     2.65      0.21 
   7979     2.75      0.27 
   8050     2.88      0.25 
   8120     3.58      0.30 
   8190     2.78      0.22 
   8259     2.98      0.24 
   8329     2.67      0.20 
   8400     2.93      0.23 
   8470     2.41      0.20 
   8540     2.53      0.22 
   8609     2.84      0.20 
   8679     2.67      0.23 
   8750     2.45      0.21 
   8820     2.87      0.27 
   8890     2.79      0.23 
   8959     2.53      0.23 
   9029     2.66      0.20 
   9099     2.92      0.23 
   9170     2.52      0.20 
   9240     2.27      0.22 
   9309     2.30      0.21 
   9379     2.03      0.23 
   9449     2.64      0.20 
   9519     2.79      0.25 
   9589     2.70      0.20 
   9659     2.86      0.24 
   9730     2.76      0.19 
   9800     2.26      0.24 
   9870     2.34      0.24 
   9940     2.74      0.30 
  10010     2.22      0.24 
  10080     2.58      0.27 
  10150     2.87      0.27 
